gene,Reg-Arrest1 rep1,Reg-Arrest1 rep2,Reg-Arrest1 rep3,Reg-Arrest2+SHX 400min,Reg-Arrest2+SHX 511min,Reg-Arrest2+SHX 621min,Dis-Arrest1 rep1,Dis-Arrest1 rep2,Dis-Arrest1 rep3,Dis-Arrest2 rep1t6,Dis-Arrest2 rep1t7,Dis-Arrest2 rep1t8
yggL,2.68195,2.69495,2.60316,2.8549,2.89866,2.8466,2.67786,2.98508,2.8242,2.95463,2.92099,2.80481
yggM,1.11376,1.14911,0.931839,1.28472,1.02061,1.25219,1.82733,1.14422,1.20175,1.45563,1.45029,1.47357
yggN,2.733,2.77589,2.68488,2.86961,2.83354,2.76215,2.97964,2.8441,2.84009,2.98156,2.92341,2.94674
yggP,1.8863,1.6706,1.78803,1.97797,2.21652,2.20107,2.30868,2.13214,2.27088,2.3067,2.24097,2.23279
yggR,1.56801,1.60519,1.37369,1.36012,1.60346,1.3322,1.84412,1.52305,1.5735,1.65761,1.60364,1.64904
yggS,2.18449,2.23364,2.32701,2.04723,2.30659,2.21084,2.17782,2.10211,2.16677,2.01575,1.99939,2.05465
yggT,2.26697,2.28819,2.24203,2.10071,2.51465,2.30593,2.51762,2.43776,2.44101,2.44855,2.34363,2.27896
yggU,1.51832,1.72743,1.83839,1.55266,1.43275,1.57003,1.88344,1.7725,1.80595,1.77714,1.5964,1.71215
yggX,1.94919,1.99661,2.1817,1.92946,2.1187,2.03929,2.03437,1.86603,1.74571,1.88162,1.88066,1.8441
yghA,3.48906,3.45277,3.43547,3.34221,3.57735,3.59532,2.86202,3.08399,2.90381,3.1073,3.24417,3.2976
yghB,3.19873,3.22884,3.24726,3.18093,3.28346,3.26938,2.47932,2.75115,2.61132,2.73401,2.80478,2.86663
yghD,1.61259,1.52816,1.20669,1.19341,1.54884,1.28053,1.95916,1.85046,1.66029,1.59325,1.50764,1.53292
yghO,0.954067,0,1.37369,0.964647,0.909259,1.02701,1.22754,1.00247,0.634881,1.15075,0.8828,0.901517
yghS,0.698812,1.14911,0,0.868759,0.968492,0.532805,1.34601,1.38542,1.38378,1.43615,1.27678,1.22232
yghT,1.11376,1.56838,0.931839,1.04315,0.759137,0.532805,1.22754,0.79067,1.0391,0.77883,0.952395,0.946573
yghU,3.04473,3.07177,3.0657,3.25237,3.343,3.16378,3.06621,3.07178,3.07822,2.98184,2.97641,2.97249
yghW,1.32203,0.877846,1.58813,1.96954,2.01273,1.84321,1.97771,1.78188,1.94034,2.10118,2.08311,1.90938
ygiB,3.21808,3.29922,3.23599,3.40334,3.31175,3.46502,3.23705,3.24981,3.26174,3.27071,3.36347,3.3764
ygiC,3.22226,3.27272,3.2003,3.34113,2.74409,3.02397,3.01046,3.01213,3.02046,2.95342,3.06151,3.13946
ygiD,2.41644,2.58069,2.56024,2.18089,2.36368,2.33106,2.06015,2.1444,2.10357,2.10333,2.10174,2.04109
ygiF,2.84054,2.83171,2.85154,2.72178,2.99194,2.79608,2.73012,2.67747,2.74385,2.61925,2.60323,2.60593
