group,names,scores,logfoldchanges,pvals,pvals_adj
2,BDKRB1,0.35792118,1.9961859,0.7204023003936766,0.9999437191164053
2,LA16c-325D7.2,0.3578341,0.3605433,0.7204674663363885,0.9999437191164053
2,COBL,0.3577244,-0.13368973,0.7205495613880195,0.9999437191164053
2,RP11-385D13.3,0.35713297,0.062358487,0.720992253081971,0.9999437191164053
2,CORT,0.3571262,2.3290634,0.7209973323057981,0.9999437191164053
2,C11orf45,0.35699388,0.354543,0.7210963796301508,0.9999437191164053
2,NOL6,0.35666934,0.050795637,0.7213393616806865,0.9999437191164053
2,SEPN1,0.35644543,-0.06801151,0.7215070102949713,0.9999437191164053
2,C21orf91,0.3557002,-0.071389124,0.7220650886371265,0.9999437191164053
2,CHRNB1,0.35558712,-0.04560698,0.7221497872089433,0.9999437191164053
2,RP11-263K19.4,0.35503075,0.15817206,0.7225665537651105,0.9999437191164053
2,RMRP,0.3546655,1.7352921,0.7228402074784683,0.9999437191164053
2,PQLC1,0.35451508,-0.067873195,0.7229528987257429,0.9999437191164053
2,GAS6-AS2,0.35396776,-0.014945329,0.7233630438938274,0.9999437191164053
2,TM4SF1-AS1,0.35389313,0.22892237,0.7234189789398786,0.9999437191164053
2,CCDC106,0.35384223,2.0199993,0.7234571173183741,0.9999437191164053
2,RAB3D,0.3535369,0.07219701,0.7236859620077745,0.9999437191164053
2,RP11-471M2.3,0.35343966,0.26704815,0.7237588584675674,0.9999437191164053
2,APOBEC3H,0.35334128,1.4147385,0.723832605110184,0.9999437191164053
2,CCDC144NL-AS1,0.35305518,0.21863788,0.7240470783031633,0.9999437191164053
2,TTC5,0.35297602,-0.104260325,0.7241064225393297,0.9999437191164053
2,RAI1,0.35218328,-0.056179393,0.7247008040701093,0.9999437191164053
2,RP11-70C1.1,0.3521392,3.2929602,0.7247338772486693,0.9999437191164053
2,RP11-1379J22.5,0.35165972,1.0549715,0.7250934751969946,0.9999437191164053
2,SALL2,0.3516292,0.7470968,0.7251163761773451,0.9999437191164053
2,RCAN1,0.35149574,-0.13679132,0.725216464828428,0.9999437191164053
2,POLI,0.35118362,0.0011524862,0.725450588816165,0.9999437191164053
2,LCAT,0.35092354,0.42516762,0.7256457117441228,0.9999437191164053
2,TRIM26,0.35091674,-0.098599665,0.725650802145879,0.9999437191164053
2,L3MBTL1,0.35047233,0.24709582,0.7259842498475233,0.9999437191164053
2,LINC01535,0.35020205,-0.030521367,0.7261870589665471,0.9999437191164053
2,AC068831.10,0.3500709,0.8820828,0.7262855004385317,0.9999437191164053
2,LINC00294,0.34972936,0.19930421,0.7265418089204314,0.9999437191164053
2,RIT1,0.34971014,-0.056609586,0.7265562377917537,0.9999437191164053
2,RP11-255M2.3,0.3495733,0.19199991,0.7266589402073995,0.9999437191164053
2,USP47,0.34924537,-0.10423992,0.7269051064861836,0.9999437191164053
2,HSPA1B,0.34909722,-0.11297384,0.7270163149827313,0.9999437191164053
2,NES,0.34906104,1.3516897,0.7270434812911284,0.9999437191164053
2,MEIG1,0.34885636,0.2895407,0.7271971471818156,0.9999437191164053
2,RP11-231N3.1,0.3488394,2.44861,0.7272098824165718,0.9999437191164053
2,LRP4,0.34874442,2.3598409,0.727281201123722,0.9999437191164053
2,POMZP3,0.34834182,0.12132691,0.7275834828149361,0.9999437191164053
2,CBX4,0.34812358,-0.09263765,0.7277473779728388,0.9999437191164053
