"",bulk,single-cell
nrdd,0.007743,0.034
nrde,0.000945,0.027
nrdf,0.000566,0.011
nrdg,0.001158,0.030
nrfb,0.000716,0.025
nudb,0.003191,0.093
nudj,0.000257,0.009
nudk,0.000089,0.057
nuob,0.003436,0.061
nuoc,0.001498,0.070
nuof,0.001729,0.027
nuoj,0.002411,0.016
nuom,0.004313,0.080
nupg,0.018168,0.039
nupx,0.000063,0.147
nusa,0.009081,0.037
obge,0.047936,0.050
ompa,0.109920,0.060
ompc,0.021759,0.159
ompf,0.003582,0.081
ompg,0.000064,0.018
ompl,0.000010,0.050
ompn,0.000176,0.104
ompt,0.000958,0.082
ompw,0.000785,0.018
ompx,0.220920,0.007
opgb,0.001411,0.046
opgc,0.000217,0.076
opgd,0.001048,0.022
opge,0.000267,0.073
opgg,0.006383,0.036
opgh,0.006980,0.025
osmb,0.031775,0.015
osmf,0.017048,0.075
osmy,0.115366,0.102
otsa,0.020549,0.149
otsb,0.014899,0.082
oxc,0.000124,0.115
oxyr,0.003286,0.006
paaj,0.001173,0.014
paaz,0.000070,0.064
paea,0.001362,0.094
panc,0.003989,0.024
paoa,0.001047,0.007
paob,0.001041,0.002
paoc,0.001461,0.015
paod,0.000901,0.009
parc,0.001567,0.014
pata,0.072623,0.084
patd,0.001584,0.021
pbpc,0.000186,0.022
pbpg,0.003039,0.083
pck,0.004544,0.022
pcnb,0.000711,0.054
pdea,0.000189,0.152
pdef,0.000087,0.100
pdei,0.000041,0.011
pdel,0.000199,0.009
pder,0.001726,0.102
pdxa,0.000622,0.026
pdxb,0.002701,0.054
pdxh,0.001054,0.057
pepd,0.005178,0.062
pepn,0.007827,0.030
pepp,0.005855,0.021
pepq,0.003729,0.009
pept,0.006404,0.048
perr,0.000059,0.093
pflb,0.108429,0.185
pfld,0.000062,0.022
pgaa,0.000088,0.063
pgab,0.000016,0.066
pgac,0.000043,0.050
pgad,0.000246,0.063
pgi,0.019152,0.042
pgk,0.043348,0.089
pgl,0.009415,0.022
pgm,0.008391,0.041
pgpb,0.001604,0.028
phea,0.001639,0.016
phes,0.000580,0.078
phet,0.013180,0.101
phnj,0.000000,0.059
phoe,0.000071,0.059
phoh,0.036602,0.027
phop,0.001548,0.088
