"",bulk,single-cell
ftsa,0.109906,0.113682
ftse,0.097261,0.001006
ftsh,1.524611,0.973843
ftsi,0.025932,0.012072
ftsk,0.077206,0.093561
ftsl,0.042578,0.000000
ftsn,0.019423,0.001006
ftsp,0.042494,0.006036
ftsq,0.138454,0.010060
ftsw,0.009788,0.008048
ftsx,0.081451,0.035211
ftsy,0.059152,0.004024
ftsz,0.285146,0.011066
fuca,0.001566,0.010060
fuci,0.004550,0.003018
fuck,0.003676,0.014085
fuco,0.008236,0.000000
fucp,0.000582,0.009054
fucr,0.008830,0.025151
fucu,0.046670,0.017103
fumb,0.014085,0.000000
fumc,0.050540,0.029175
fumd,0.033513,0.024145
fume,0.021912,0.017103
fur,0.180550,0.056338
fusa,1.792229,0.877264
fxsa,0.132136,0.066398
gabd,0.099933,0.005030
gabp,0.008701,0.004024
gabt,0.067310,0.002012
gada,0.023167,0.004024
gadb,0.027773,0.051308
gadc,0.021536,0.014085
gade,0.001579,0.002012
gadw,0.005370,0.012072
gadx,0.016129,0.014085
gale,0.009265,0.009054
galf,0.375810,0.116700
galk,0.066183,0.059356
galm,0.338496,0.001006
galp,0.300098,0.106640
galr,0.043843,0.037223
gals,0.001797,0.018109
galt,0.005519,0.032193
galu,0.161008,0.082495
gapa,0.612978,0.589537
gard,0.010170,0.037223
gark,0.015744,0.009054
garl,0.003881,0.003018
garp,0.001996,0.004024
garr,0.012976,0.002012
gatb,0.008328,0.016097
gatd,0.021893,0.037223
gaty,0.144349,0.006036
gatz,0.091811,0.121730
gcd,0.062969,0.025151
gcl,0.013158,0.018109
gcva,0.035878,0.049296
gcvh,0.019553,0.004024
gcvp,0.006888,0.003018
gcvr,0.056800,0.031187
gcvt,0.022326,0.006036
gdha,0.054787,0.018109
gdx,0.058807,0.000000
gfcb,0.005570,0.005030
gfcc,0.003643,0.001006
gfcd,0.002940,0.011066
gfce,0.003218,0.013078
ggt,0.033375,0.021127
ghos,0.072275,0.010060
ghot,0.012927,0.001006
ghra,0.049008,0.038229
ghrb,0.013078,0.015091
ghxp,0.006462,0.001006
ghxq,0.007595,0.008048
glah,0.174690,0.260563
glar,0.019622,0.013078
glcb,0.056151,0.036217
glcc,0.042014,0.036217
glcd,0.002383,0.000000
glce,0.001386,0.001006
glcf,0.023444,0.008048
glcg,0.034583,0.001006
glda,0.006086,0.017103
glf,0.010324,0.024145
glga,0.179265,0.176056
glgb,0.051965,0.078471
glgc,0.126136,0.099598
glgp,0.057391,0.062374
glgs,0.067325,0.016097
glgx,0.038503,0.055332
glk,0.076907,0.032193
glmm,0.085801,0.048290
glms,0.178502,0.198189
glmu,0.095333,0.043260
glna,0.007689,0.010060
glnb,0.024605,0.005030
glnd,0.009375,0.011066
glne,0.014090,0.014085
glng,0.075312,0.008048
glnh,0.078687,0.067404
glnk,0.003769,0.011066
glnl,0.072995,0.059356
glnp,0.029459,0.010060
glnq,0.045115,0.001006
glns,0.032697,0.054326
gloa,0.081864,0.005030
glob,0.011803,0.026157
gloc,0.113963,0.004024
glpa,0.001171,0.009054
glpb,0.001680,0.003018
glpc,0.001650,0.003018
glpd,0.107408,0.137827
glpe,0.032480,0.004024
glpf,0.022921,0.028169
glpg,0.027024,0.002012
glpk,0.019029,0.021127
glpq,0.041136,0.040241
glpt,0.005020,0.021127
glpx,0.012557,0.001006
glrk,0.026785,0.005030
glrr,0.024737,0.026157
glsa,0.004395,0.007042
glsb,0.011266,0.009054
glta,0.350185,0.378270
gltb,0.005750,0.010060
gltd,0.005201,0.000000
gltf,0.003364,0.016097
glti,0.017020,0.025151
gltj,0.008169,0.004024
gltk,0.008355,0.005030
gltl,0.008004,0.002012
gltp,0.033589,0.009054
glts,0.075764,0.003018
gltx,0.127140,0.057344
glxk,0.006295,0.007042
glxr,0.002100,0.002012
glya,0.048206,0.004024
glyq,0.132721,0.003018
glys,0.092268,0.011066
glyu,0.075070,0.042254
gmd,0.003677,0.007042
gmha,0.044756,0.006036
gmhb,0.008242,0.006036
gmk,0.118509,0.035211
gmm,0.001401,0.005030
gnsa,0.030184,0.002012
gnsb,0.024670,0.002012
gntk,0.011461,0.009054
gntp,0.011705,0.020121
gntr,0.031310,0.003018
gntt,0.024943,0.006036
gntu,0.009501,0.001006
gor,0.036026,0.077465
gph,0.025724,0.007042
