"",bulk,single-cell
pcnb,0.000711,0.062
pdea,0.000189,0.095
pdef,0.000087,0.059
pdei,0.000041,0.003
pdel,0.000199,0.007
pder,0.001726,0.095
pdxa,0.000622,0.023
pdxb,0.002701,0.039
pdxh,0.001054,0.048
pepd,0.005178,0.066
pepn,0.007827,0.018
pepp,0.005855,0.010
pepq,0.003729,0.005
pept,0.006404,0.021
perr,0.000059,0.065
pflb,0.108429,0.128
pfld,0.000062,0.003
pgaa,0.000088,0.074
pgab,0.000016,0.061
pgac,0.000043,0.062
pgad,0.000246,0.093
pgi,0.019152,0.018
pgk,0.043348,0.055
pgl,0.009415,0.014
pgm,0.008391,0.027
pgpb,0.001604,0.010
phea,0.001639,0.003
phes,0.000580,0.041
phet,0.013180,0.077
phnj,0.000000,0.081
phoe,0.000071,0.040
phoh,0.036602,0.022
phop,0.001548,0.093
phoq,0.000618,0.078
phou,0.000853,0.020
phr,0.002948,0.015
pinq,0.000208,0.045
pinr,0.000251,0.020
plap,0.000847,0.071
plsb,0.003675,0.054
plsc,0.000506,0.010
plsx,0.003135,0.010
pmrd,0.000093,0.033
pncb,0.007418,0.031
pnp,0.010430,0.012
pnta,0.003029,0.028
pntb,0.006590,0.112
pnuc,0.011345,0.029
pota,0.000499,0.028
potb,0.000445,0.017
potc,0.000306,0.012
potd,0.000888,0.067
pote,0.000723,0.055
poxb,0.009355,0.037
ppc,0.003661,0.032
ppdb,0.000272,0.029
ppdd,0.000056,0.011
ppha,0.003714,0.130
pphc,0.000078,0.035
ppib,0.013188,0.014
ppic,0.001637,0.015
ppnn,0.002309,0.011
pppa,0.000097,0.009
ppsa,0.005375,0.033
ppx,0.005051,0.012
pqib,0.003403,0.009
pqql,0.000126,0.062
prc,0.002627,0.067
prfa,0.000887,0.010
prfb,0.003089,0.010
prlc,0.011930,0.039
prmb,0.000613,0.051
proa,0.008191,0.010
prok,0.008191,0.012
proq,0.008982,0.033
pros,0.008288,0.034
prs,0.002585,0.057
psie,0.000599,0.005
pspa,0.084847,0.145
pspc,0.031240,0.043
pspf,0.000222,0.060
pssa,0.010199,0.010
psta,0.000836,0.008
pstb,0.000680,0.018
psts,0.001055,0.011
psug,0.000027,0.108
psuk,0.000040,0.101
psut,0.000586,0.065
pth,0.000646,0.045
ptra,0.000465,0.086
ptrb,0.003051,0.099
ptsg,0.034829,0.009
ptsh,0.028712,0.012
ptsi,0.053098,0.028
punc,0.000247,0.002
punr,0.000613,0.034
purb,0.000299,0.068
pure,0.000084,0.010
purf,0.000815,0.022
purh,0.000167,0.033
purl,0.000111,0.152
purr,0.000143,0.008
puru,0.001587,0.065
puub,0.000170,0.004
puup,0.000991,0.037
pykf,0.042644,0.031
pyrc,0.000236,0.040
pyrd,0.000148,0.013
pyre,0.000045,0.011
pyrg,0.041149,0.101
pyri,0.000208,0.028
qmca,0.005364,0.027
qora,0.011874,0.021
qorb,0.000545,0.029
quef,0.001048,0.006
queg,0.000835,0.017
racc,0.000183,0.057
racr,0.001036,0.047
raia,0.201884,0.071
ralr,0.000013,0.014
rapa,0.002126,0.061
rapz,0.002879,0.005
rara,0.006109,0.005
rard,0.000472,0.017
rava,0.001287,0.040
rbsa,0.003121,0.008
rbsd,0.005488,0.005
rbsr,0.000049,0.005
rcba,0.000130,0.033
rcla,0.000611,0.034
rclb,0.000110,0.024
rclc,0.000177,0.057
rcnr,0.000263,0.059
rcsc,0.000815,0.080
rcsf,0.001522,0.020
reca,0.036321,0.009
recb,0.000258,0.061
recc,0.000981,0.051
recd,0.001187,0.015
rece,0.000241,0.095
recn,0.016849,0.038
reco,0.003986,0.016
recq,0.000091,0.006
rect,0.000337,0.085
rela,0.000759,0.021
relb,0.008329,0.022
rele,0.039134,0.028
rem,0.000727,0.024
rfah,0.001243,0.016
rfba,0.001492,0.093
rfbb,0.003148,0.091
rfbc,0.006067,0.197
rflp,0.000802,0.077
rhab,0.000031,0.021
rhat,0.000361,0.019
rhlb,0.003907,0.041
rho,0.016027,0.036
rhsa,0.000193,0.006
rhsb,0.000170,0.015
rhsc,0.000188,0.003
rhtb,0.000112,0.016
riba,0.003701,0.059
ribb,0.053615,0.011
ribc,0.002823,0.076
ribd,0.003634,0.091
rida,0.001595,0.009
riha,0.000254,0.027
rihb,0.000102,0.031
riml,0.000411,0.017
rimm,0.018248,0.011
rlha,0.000165,0.005
rlma,0.000722,0.057
rlmd,0.001094,0.069
rlme,0.044329,0.043
rlmi,0.002269,0.049
rlml,0.000662,0.005
rlmm,0.002072,0.045
rlmn,0.006422,0.051
rlud,0.002926,0.028
rlue,0.000292,0.041
rmf,0.288646,0.051
rna,0.004679,0.028
rnb,0.000738,0.061
rnc,0.013742,0.059
rnd,0.000660,0.031
rne,0.005678,0.069
rng,0.001150,0.010
rnla,0.002051,0.012
rnlb,0.002401,0.013
rodz,0.024382,0.018
roxa,0.017712,0.024
rpla,0.023597,0.030
rplc,0.015133,0.046
rpld,0.011700,0.029
rple,0.041065,0.038
rplf,0.039744,0.034
rpli,0.014243,0.022
rpll,0.078769,0.096
rplm,0.014649,0.016
rpln,0.028063,0.031
rplo,0.090861,0.047
rplq,0.025164,0.020
rpls,0.010279,0.038
rplt,0.099554,0.167
rplv,0.012685,0.006
rplw,0.014132,0.031
rpmc,0.016229,0.044
rpmg,0.009299,0.012
rpna,0.000037,0.006
rpnb,0.000273,0.057
