"",bulk,single-cell
nadc,0.230734,0.014409
nadd,0.337591,0.028818
nade,0.485416,0.023055
nadk,0.384899,0.025937
naga,0.353174,0.048031
nagb,0.456589,0.059558
nagc,0.412854,0.069164
nage,2.162086,0.076849
nana,0.355670,0.016330
nanc,0.017296,0.086455
nans,0.031432,0.064361
nany,0.144402,0.027858
napa,0.064857,0.087416
napb,0.020348,0.051873
napc,0.057720,0.028818
napd,0.014231,0.058598
napf,0.024298,0.028818
naph,0.038641,0.022094
narl,0.163479,0.026897
narp,0.175001,0.005764
narq,0.076175,0.024015
naru,0.134374,0.102786
narw,0.199594,0.017291
narz,0.271052,0.133525
ndk,4.309575,0.050913
nei,0.104689,0.009606
nepi,0.034583,0.020173
nfra,0.027959,0.103746
nhaa,0.449216,0.047070
nhab,0.233977,0.092219
nhar,0.177695,0.047070
nimr,0.042400,0.084534
nirb,0.009751,0.011527
nlpa,0.155963,0.032661
nlpc,0.606601,0.033622
nlpd,4.547150,0.227666
nlpe,0.274881,0.022094
nlpi,3.856003,0.113353
nnr,0.218981,0.010567
norv,0.030112,0.019212
nrda,0.875553,0.018252
nrdb,1.004135,0.049952
nrdd,0.068552,0.048031
nrdf,0.213646,0.034582
nsrr,0.621249,0.027858
nudb,1.069647,0.121998
nudc,0.332035,0.025937
nudi,0.041012,0.018252
nudk,0.112405,0.058598
nuob,4.474858,0.087416
nuoc,3.338008,0.059558
nuof,3.995838,0.037464
nuoh,3.028662,0.031700
nuol,3.432990,0.027858
nuom,6.695885,0.049952
nupg,0.363950,0.036503
nupx,0.007967,0.165226
nusa,2.433500,0.039385
nusg,2.227592,0.051873
obge,1.024376,0.022094
ompa,26.848035,0.090298
ompc,17.164893,0.209414
ompf,37.680356,0.109510
ompl,0.000320,0.038425
ompn,0.006199,0.118156
ompt,0.705293,0.073967
opgc,0.055559,0.095101
opgd,0.572340,0.031700
opge,0.108806,0.073967
opgg,0.710085,0.049952
opgh,0.655800,0.024976
oppa,18.811045,0.044188
oppb,6.063761,0.018252
osmb,0.285410,0.027858
osmc,2.395691,0.052834
osmf,0.480837,0.123919
osmy,2.648941,0.191162
otsa,0.432225,0.171950
otsb,0.321304,0.118156
oxc,0.009240,0.137368
paaj,0.273685,0.022094
paax,0.374868,0.020173
paaz,0.007271,0.067243
pabb,0.110995,0.020173
paea,0.275246,0.088377
panc,0.878743,0.026897
pane,0.061054,0.041306
paoa,0.042462,0.009606
paob,0.049098,0.008646
paoc,0.064926,0.028818
parc,0.444328,0.005764
pata,1.664352,0.346782
patd,5.068435,0.034582
pbpg,0.268878,0.133525
pck,4.158069,0.044188
pcnb,0.824599,0.073967
pdea,0.097453,0.126801
pded,0.045395,0.023055
pdef,0.010019,0.136407
pdel,0.043445,0.011527
pder,0.280300,0.143132
pdxa,0.925692,0.026897
pdxb,0.515215,0.070125
pdxh,0.468872,0.075889
pdxi,0.406210,0.030740
pdxj,0.490037,0.014409
pepd,1.691401,0.122959
pepn,1.131295,0.047070
pept,0.257188,0.075889
perr,0.011618,0.120077
pflb,3.187991,0.304515
pflc,0.018700,0.007685
pfld,0.017010,0.020173
pgaa,0.005311,0.092219
pgab,0.004328,0.096061
pgac,0.007109,0.088377
pgad,0.005052,0.070125
pgi,0.909298,0.074928
pgk,3.400432,0.160423
pgl,0.774114,0.050913
pgm,1.151891,0.037464
pgpb,0.146776,0.028818
phea,0.345929,0.024015
phes,1.016291,0.063401
phet,1.664655,0.155620
phnj,0.002223,0.050913
phoe,0.002992,0.085495
phoh,0.525254,0.151777
phop,0.633103,0.144092
phoq,0.545494,0.128722
phor,0.066771,0.016330
phr,0.350302,0.033622
pinq,0.049036,0.073967
pinr,0.060211,0.044188
pita,1.191487,0.010567
plap,0.924244,0.089337
plar,0.124901,0.001921
plda,0.244160,0.006724
plig,0.010839,0.020173
plsb,0.585530,0.057637
plsx,1.344705,0.033622
pmrd,0.291345,0.041306
pnca,0.434520,0.002882
pnp,7.030394,0.016330
pnta,1.274529,0.057637
pntb,1.505553,0.195005
pnuc,0.482741,0.053794
pota,0.279014,0.031700
potb,0.233860,0.035543
potd,0.694687,0.130644
pote,0.021291,0.120077
potf,0.717573,0.011527
poxb,0.452391,0.059558
ppc,0.854428,0.017291
ppdb,0.073521,0.056676
ppha,0.048033,0.169068
pphb,0.256623,0.073007
pphc,0.014342,0.061479
ppib,1.375310,0.016330
ppid,1.121884,0.039385
ppnn,1.044807,0.041306
ppsa,4.263985,0.064361
ppsr,0.398297,0.036503
ppta,0.048874,0.006724
ppx,0.435044,0.031700
pqia,0.165196,0.027858
pqql,0.026910,0.103746
prea,0.026942,0.016330
pret,0.026050,0.016330
prfa,0.352262,0.029779
prfb,1.926430,0.013449
prlc,0.496788,0.026897
prma,0.331812,0.002882
