"",bulk,single-cell
ebgc,0.038479,0.003992
ebgr,0.149141,0.005988
ecna,0.643360,0.013972
ecnb,0.187824,0.027944
eco,0.224184,0.002994
ecpa,0.036552,0.014970
ecpb,0.012881,0.025948
ecpc,0.011685,0.120758
ecpe,0.021989,0.080838
eda,0.689285,0.002994
edd,0.089996,0.163673
efeb,0.327950,0.008982
efeo,0.528137,0.001996
efp,1.992262,0.004990
elaa,0.161874,0.086826
elab,4.765284,0.045908
elad,0.011199,0.028942
elbb,0.285073,0.019960
elfa,0.003934,0.031936
elfc,0.007271,0.018962
elfd,0.005996,0.024950
elfg,0.025538,0.034930
elyc,0.042171,0.047904
emra,0.201176,0.013972
emrb,0.186749,0.001996
emrd,0.070276,0.000998
emre,0.051270,0.011976
emrk,0.003595,0.151697
emry,0.002634,0.109780
emta,0.269386,0.011976
enda,0.025142,0.001996
eno,5.025399,0.368263
enta,0.791965,0.004990
entb,0.726167,0.011976
entc,0.588020,0.001996
entd,0.214295,0.077844
ente,0.581131,0.005988
entf,0.419469,0.010978
enth,0.436011,0.000998
ents,0.318167,0.000998
envr,0.003814,0.018962
envy,0.003774,0.071856
envz,0.372382,0.010978
epd,0.718958,0.025948
epma,0.063023,0.006986
epmb,0.271869,0.041916
epmc,0.385493,0.033932
epta,0.010671,0.047904
eptb,0.187423,0.027944
eptc,0.307228,0.031936
era,1.421364,0.159681
erpa,0.732067,0.017964
essd,0.010514,0.004990
etk,0.034103,0.106786
etp,0.009592,0.065868
etta,1.793339,0.099800
euta,0.014598,0.049900
eutb,0.057417,0.020958
eutc,0.092902,0.002994
eute,0.008122,0.101796
eutg,0.010128,0.049900
euth,0.014797,0.043912
eutj,0.006813,0.002994
eutk,0.108252,0.021956
eutl,0.076223,0.001996
eutm,0.096998,0.002994
eutn,0.005657,0.027944
eutp,0.015482,0.014970
eutq,0.016470,0.003992
eutr,0.037706,0.034930
euts,0.017309,0.015968
eutt,0.015993,0.003992
evga,0.071627,0.024950
evgs,0.039342,0.020958
exbb,1.648741,0.027944
exbd,1.369812,0.009980
exox,0.240819,0.010978
exur,0.531132,0.012974
exut,0.212843,0.007984
faba,5.112458,0.029940
fabb,9.734408,0.093812
fabd,1.841599,0.007984
fabf,3.238415,0.036926
fabh,1.548710,0.000998
fabi,2.252709,0.022954
fabr,0.803923,0.009980
faby,0.558447,0.032934
fabz,1.127384,0.023952
fada,1.501787,0.008982
fadb,1.632931,0.016966
fadd,0.923573,0.228543
fade,0.853889,0.108782
fadh,0.368962,0.018962
fadj,0.797025,0.166667
fadk,0.006784,0.023952
fadl,4.376576,0.133733
fadm,0.088719,0.004990
fadr,0.669904,0.009980
fau,0.613845,0.000998
fbaa,5.529968,0.093812
fbab,2.561053,0.247505
fbp,0.799126,0.030938
fcl,0.018329,0.001996
fdhd,0.155650,0.024950
fdhe,1.383368,0.008982
fdhf,0.051714,0.049900
fdng,2.040275,0.039920
fdnh,0.017601,0.006986
fdni,0.029977,0.019960
fdoh,2.981150,0.017964
fdoi,2.527461,0.045908
fdra,0.004382,0.018962
fdx,1.052903,0.011976
feab,0.180781,0.008982
fear,0.514358,0.228543
feca,0.070544,0.046906
fecb,0.046356,0.027944
fecc,0.022130,0.003992
fece,0.042538,0.021956
feci,0.378045,0.000998
fecr,0.279402,0.000998
feoa,0.120804,0.001996
feob,0.231365,0.006986
feoc,0.333333,0.000000
fepa,0.896945,0.103792
fepb,0.241287,0.030938
fepc,0.286789,0.041916
fepd,0.173048,0.014970
fepg,0.209033,0.000000
fes,0.219591,0.003992
feta,0.040955,0.041916
fetb,0.049808,0.018962
ffh,0.934410,0.117764
ffs,0.500069,0.000000
fhua,0.544645,0.042914
fhub,0.205064,0.005988
fhuc,0.346997,0.002994
fhud,0.187153,0.007984
fhue,0.176445,0.088822
fhuf,3.079991,0.002994
fic,0.293753,0.009980
fief,0.299396,0.012974
fima,0.492111,0.045908
fimb,0.083505,0.034930
fimc,0.024009,0.037924
fime,0.010292,0.017964
fimf,0.026948,0.001996
fimh,0.016841,0.015968
fimi,0.117362,0.015968
fimz,0.005528,0.037924
fis,1.918866,0.011976
fiu,0.962464,0.127745
fixa,0.006556,0.008982
fixb,0.005171,0.000000
fixc,0.008285,0.028942
fixx,0.007171,0.004990
fklb,1.234494,0.000000
fkpa,2.067099,0.061876
fkpb,0.844324,0.007984
flda,0.725482,0.078842
fldb,0.343908,0.000000
flga,2.329760,0.034930
flgb,4.911483,0.010978
flgc,7.998095,0.002994
flgd,9.209565,0.000000
flge,11.367781,0.010978
flgf,9.193989,0.009980
flgg,8.521127,0.005988
flgh,4.562509,0.008982
flgi,2.818842,0.000998
flgj,2.225412,0.005988
flgk,1.912765,0.011976
flgl,1.918277,0.004990
flgm,1.907597,0.012974
flgn,1.424048,0.033932
flha,0.969442,0.056886
flhb,1.171580,0.017964
flhc,1.396331,0.114770
flhd,1.373037,0.003992
flhe,1.467886,0.000998
flia,5.154660,0.086826
flic,12.742671,0.199601
flid,2.517419,0.032934
flie,1.364128,0.004990
flif,3.494639,0.004990
flig,4.555589,0.016966
flih,4.306281,0.004990
flii,2.995963,0.001996
flij,1.902044,0.011976
flik,2.235947,0.000998
flil,5.114134,0.001996
flim,6.005614,0.004990
flin,4.635456,0.006986
flio,4.431864,0.000000
flip,1.761088,0.005988
fliq,1.696134,0.000000
flir,0.776021,0.012974
flis,1.438201,0.008982
flit,1.738043,0.000000
fliz,4.385547,0.073852
flk,0.189897,0.005988
flu,0.029971,0.004990
flxa,0.037613,0.008982
fmt,1.119876,0.002994
foca,0.326117,0.033932
focb,0.011164,0.000998
fola,0.316891,0.012974
folb,0.060004,0.001996
folc,0.410535,0.067864
fold,0.680662,0.018962
fole,1.605829,0.107784
folk,0.230127,0.064870
folm,0.278925,0.030938
folp,0.152046,0.003992
folx,0.541639,0.011976
frc,0.006745,0.186627
frda,0.784062,0.022954
frdb,0.625558,0.016966
frdc,0.489117,0.018962
frdd,0.917461,0.000000
fre,1.881761,0.004990
frla,0.003833,0.003992
frlb,0.028925,0.010978
frlc,0.022416,0.002994
frlr,0.112365,0.008982
frma,0.362509,0.076846
frmr,0.324577,0.001996
frr,3.329683,0.094810
frsa,0.121730,0.010978
frua,0.672895,0.121756
frub,0.536841,0.022954
