"",bulk,single-cell
grca,0.012015,0.016
grea,0.062488,0.030
greb,0.024121,0.010
grol,0.397359,0.731
gros,0.252465,0.071
grpe,0.459018,0.017
grxa,0.001629,0.025
grxb,0.071074,0.148
grxc,0.271161,0.001
grxd,0.180977,0.040
gsha,0.189974,0.318
gshb,0.056632,0.085
gsia,0.079902,0.097
gsib,0.026607,0.069
gsic,0.013993,0.010
gsid,0.007793,0.013
gsk,0.011537,0.046
gspa,0.004140,0.021
gspb,0.005771,0.010
gspc,0.004185,0.037
gspd,0.005155,0.041
gspe,0.001154,0.025
gspf,0.000506,0.019
gspg,0.000580,0.009
gsph,0.000890,0.012
gspi,0.000328,0.012
gspj,0.000734,0.011
gspk,0.000275,0.044
gspl,0.000430,0.046
gspm,0.003791,0.015
gspo,0.002407,0.021
gss,0.016783,0.059
gsta,0.177537,0.038
gstb,0.042226,0.031
guaa,0.056539,0.067
guab,0.091485,0.134
guac,0.015738,0.062
guad,0.003147,0.030
gudd,0.011816,0.010
gudp,0.002350,0.015
gudx,0.003047,0.030
gutm,0.004315,0.007
gutq,0.011075,0.000
gyra,0.049252,0.091
gyrb,0.166193,0.192
hcac,0.008895,0.010
hcad,0.008446,0.008
hcae,0.011774,0.005
hcaf,0.017441,0.008
hcar,0.012372,0.041
hcat,0.016827,0.025
hcha,0.332080,0.444
hcp,0.003596,0.010
hcr,0.004996,0.001
hcxa,0.016555,0.002
hcxb,0.023022,0.042
hda,0.010362,0.000
hdea,0.022643,0.014
hdeb,0.010383,0.010
hded,0.014900,0.011
hdfr,0.032087,0.098
hdha,0.356971,0.405
held,0.026934,0.107
hema,0.079529,0.004
hemb,0.022235,0.019
hemc,0.038860,0.015
hemd,0.052345,0.000
heme,0.062395,0.000
hemf,0.047196,0.008
hemg,0.017388,0.030
hemh,0.115790,0.184
heml,0.068789,0.054
hemn,0.018456,0.000
hemw,0.016684,0.051
hemx,0.127790,0.283
hemy,0.118628,0.005
hflc,0.405739,0.260
hfld,0.030761,0.000
hflk,0.583055,0.007
hflx,0.486984,0.686
hfq,0.829248,0.605
hha,0.244579,0.037
hica,0.086148,0.003
hicb,0.077818,0.217
higa,0.019262,0.006
higb,0.006538,0.033
hint,0.234602,0.165
hipa,0.060710,0.131
