"",bulk,single-cell
frlb,0.000321,0.010
frlc,0.000108,0.010
frld,0.000424,0.002
frlr,0.001203,0.015
frma,0.003762,0.051
frmr,0.003346,0.005
frr,0.037180,0.039
frsa,0.001512,0.008
frua,0.024741,0.073
frub,0.008859,0.023
fruk,0.010598,0.037
frva,0.000006,0.004
frvb,0.000137,0.004
frvr,0.000053,0.046
frvx,0.000124,0.030
frwb,0.000094,0.005
frwc,0.000024,0.003
frwd,0.000226,0.007
fryb,0.000000,0.063
fryc,0.000029,0.037
fsaa,0.000526,0.005
fsr,0.000947,0.084
ftna,0.002812,0.051
ftnb,0.001997,0.051
ftp,0.000056,0.060
ftsa,0.006292,0.038
ftse,0.004697,0.002
ftsh,0.074048,0.168
ftsi,0.001777,0.014
ftsk,0.003804,0.040
ftsl,0.002406,0.002
ftsn,0.000705,0.002
ftsp,0.001091,0.003
ftsq,0.005894,0.003
ftsw,0.000863,0.006
ftsx,0.006231,0.027
ftsy,0.002451,0.016
ftsz,0.021570,0.004
fuca,0.000117,0.051
fuci,0.000263,0.007
fuck,0.000180,0.021
fuco,0.000902,0.017
fucp,0.000092,0.024
fucr,0.000455,0.030
fucu,0.001550,0.019
fumb,0.005587,0.017
fumc,0.015720,0.066
fumd,0.000656,0.047
fume,0.000772,0.026
fur,0.019250,0.071
fusa,0.083594,0.179
fxsa,0.004446,0.015
gabd,0.020145,0.004
gabp,0.003855,0.018
gabt,0.019089,0.001
gada,0.002411,0.028
gadb,0.002366,0.100
gadc,0.002452,0.097
gade,0.000422,0.003
gadw,0.000682,0.062
gadx,0.001434,0.057
gale,0.001188,0.026
galf,0.021325,0.077
galk,0.001292,0.093
galm,0.002184,0.000
galp,0.006548,0.017
galr,0.001925,0.021
gals,0.000332,0.126
galt,0.001000,0.067
galu,0.042997,0.051
gapa,0.052310,0.161
gard,0.003444,0.063
gark,0.002083,0.008
garl,0.000579,0.010
garp,0.000380,0.032
garr,0.001475,0.014
gatb,0.013505,0.083
gatd,0.003691,0.158
gaty,0.386902,0.021
gatz,0.213301,0.312
gcd,0.030620,0.052
gcl,0.000499,0.021
gcva,0.002005,0.133
gcvh,0.001251,0.008
gcvp,0.000653,0.010
gcvr,0.008465,0.023
gcvt,0.001006,0.016
gdha,0.000596,0.012
gdx,0.002477,0.005
gfca,0.000014,0.001
gfcb,0.000090,0.054
gfcc,0.000036,0.014
gfcd,0.000037,0.071
gfce,0.000090,0.067
ggt,0.002397,0.033
ghos,0.001099,0.010
ghot,0.000398,0.001
ghra,0.000657,0.023
ghrb,0.000446,0.028
ghxp,0.000104,0.003
ghxq,0.000273,0.018
glah,0.052027,0.072
glar,0.004576,0.017
glcb,0.002093,0.033
glcc,0.004270,0.020
glcd,0.000532,0.009
glce,0.000358,0.006
glcf,0.001440,0.008
glcg,0.001677,0.002
glda,0.000406,0.033
glf,0.001092,0.144
glga,0.007854,0.060
glgb,0.002531,0.055
glgc,0.007211,0.067
glgp,0.005064,0.052
glgs,0.007980,0.011
glgx,0.003601,0.046
glk,0.007428,0.070
glmm,0.004571,0.035
glms,0.017486,0.109
glmu,0.007965,0.017
glna,0.001469,0.014
glnb,0.001421,0.027
glnd,0.001492,0.037
glne,0.001324,0.034
glng,0.003017,0.009
glnh,0.005976,0.081
glnk,0.000309,0.016
glnl,0.002323,0.054
glnp,0.001733,0.019
glnq,0.001618,0.002
glns,0.002275,0.040
gloa,0.002723,0.002
glob,0.000417,0.060
gloc,0.002564,0.001
glpa,0.000036,0.020
glpb,0.000086,0.005
glpc,0.000044,0.013
glpd,0.009135,0.048
glpe,0.001229,0.003
glpf,0.002381,0.041
glpg,0.000616,0.009
glpk,0.002321,0.056
glpq,0.006022,0.131
glpt,0.000335,0.124
glpx,0.000882,0.005
