gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
ybaT	GO:0006865 - amino acid transport; GO:0009268 - response to pH; GO:0055085 - transmembrane transport; GO:1990169 - stress response to copper ion	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0022857 - transmembrane transporter activity
glsA	GO:0006537 - glutamate biosynthetic process; GO:0006541 - glutamine metabolic process; GO:0006543 - L-glutamine catabolic process; GO:0010447 - response to acidic pH; GO:0045926 - negative regulation of growth	GO:0032991 - protein-containing complex	GO:0004359 - glutaminase activity; GO:0016787 - hydrolase activity
patA	GO:0009447 - putrescine catabolic process; GO:0019477 - L-lysine catabolic process	GO:0005829 - cytosol	GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0019161 - diamine transaminase activity; GO:0030170 - pyridoxal phosphate binding; GO:0033094 - putrescine--2-oxoglutarate transaminase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
folK	GO:0009396 - folic acid-containing compound biosynthetic process; GO:0046654 - tetrahydrofolate biosynthetic process; GO:0046656 - folic acid biosynthetic process	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003848 - 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity
pcnB	GO:0006276 - plasmid maintenance; GO:0006396 - RNA processing; GO:0006397 - mRNA processing; GO:0009451 - RNA modification; GO:0042780 - tRNA 3'-end processing; GO:0043633 - polyadenylation-dependent RNA catabolic process; GO:0071047 - polyadenylation-dependent mRNA catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane	GO:0000166 - nucleotide binding; GO:0003723 - RNA binding; GO:0005524 - ATP binding; GO:0008143 - poly(A) binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0097748 - 3'-5' RNA polymerase activity; GO:1990817 - poly(A) RNA polymerase activity
luxS	GO:0009372 - quorum sensing; GO:0019284 - L-methionine salvage from S-adenosylmethionine	GO:0005829 - cytosol	GO:0005506 - iron ion binding; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0043768 - S-ribosylhomocysteine lyase activity; GO:0046872 - metal ion binding
yhiM	GO:0001659 - temperature homeostasis; GO:0071468 - cellular response to acidic pH	GO:0005886 - plasma membrane	
hdfR	GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
cbpM		GO:0005829 - cytosol	GO:0004857 - enzyme inhibitor activity; GO:0005515 - protein binding
cbpA	GO:0006457 - protein folding; GO:0042026 - protein refolding	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009295 - nucleoid; GO:0043590 - bacterial nucleoid	GO:0003677 - DNA binding; GO:0003681 - bent DNA binding; GO:0005515 - protein binding; GO:0042802 - identical protein binding; GO:0051082 - unfolded protein binding
nhaR	GO:0006355 - regulation of DNA-templated transcription; GO:2000142 - regulation of DNA-templated transcription initiation; GO:2000144 - positive regulation of DNA-templated transcription initiation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
nhaA	GO:0006811 - monoatomic ion transport; GO:0006814 - sodium ion transport; GO:0006885 - regulation of pH; GO:0009651 - response to salt stress; GO:0010446 - response to alkaline pH; GO:0035725 - sodium ion transmembrane transport; GO:0051453 - regulation of intracellular pH; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015081 - sodium ion transmembrane transporter activity; GO:0015297 - antiporter activity; GO:0015385 - sodium:proton antiporter activity; GO:1901612 - cardiolipin binding
sra	GO:0006412 - translation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0043024 - ribosomal small subunit binding
gabP	GO:0006865 - amino acid transport; GO:0006974 - DNA damage response; GO:0006995 - cellular response to nitrogen starvation; GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0015812 - gamma-aminobutyric acid transport; GO:0055085 - transmembrane transport; GO:0090549 - response to carbon starvation	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015185 - gamma-aminobutyric acid transmembrane transporter activity; GO:0015291 - secondary active transmembrane transporter activity
gabT	GO:0009063 - amino acid catabolic process; GO:0009448 - gamma-aminobutyric acid metabolic process; GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0042450 - L-arginine biosynthetic process via ornithine; GO:0046395 - carboxylic acid catabolic process; GO:0170033 - L-amino acid metabolic process; GO:0170039 - proteinogenic amino acid metabolic process	GO:0005829 - cytosol	GO:0003992 - N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity; GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0034386 - 4-aminobutyrate:2-oxoglutarate transaminase activity; GO:0042803 - protein homodimerization activity; GO:0047589 - 5-aminovalerate transaminase activity
gabD	GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0051289 - protein homotetramerization; GO:1990748 - cellular detoxification	GO:0005829 - cytosol; GO:0032991 - protein-containing complex	GO:0004777 - succinate-semialdehyde dehydrogenase (NAD+) activity; GO:0009013 - succinate-semialdehyde dehydrogenase [NAD(P)+] activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0036243 - succinate-semialdehyde dehydrogenase (NADP+) activity; GO:0042802 - identical protein binding; GO:0050661 - NADP binding; GO:0102810 - glutarate-semialdehyde dehydrogenase (NADP+) activity
lhgD	GO:0006554 - lysine catabolic process; GO:0019477 - L-lysine catabolic process	GO:0005737 - cytoplasm; GO:0005886 - plasma membrane	GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0016614 - oxidoreductase activity, acting on CH-OH group of donors; GO:0016901 - oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor; GO:0047545 - (S)-2-hydroxyglutarate dehydrogenase activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0140696 - (S)-2-hydroxyglutarate dehydrogenase (quinone) activity
glaH	GO:0019477 - L-lysine catabolic process; GO:0090549 - response to carbon starvation	GO:0005829 - cytosol; GO:0032991 - protein-containing complex	GO:0005506 - iron ion binding; GO:0008198 - ferrous iron binding; GO:0016491 - oxidoreductase activity; GO:0016706 - 2-oxoglutarate-dependent dioxygenase activity; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0050498 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, with 2-oxoglutarate as one donor, and the other dehydrogenated; GO:0051213 - dioxygenase activity; GO:0106343 - glutarate dioxygenase activity
pdeR	GO:0010608 - post-transcriptional regulation of gene expression	GO:0005886 - plasma membrane	GO:0005515 - protein binding; GO:0005525 - GTP binding; GO:0016787 - hydrolase activity; GO:0071111 - cyclic-guanylate-specific phosphodiesterase activity
ybiI	GO:1900378 - positive regulation of secondary metabolite biosynthetic process	GO:0005829 - cytosol	GO:0008270 - zinc ion binding; GO:0046872 - metal ion binding
ompN	GO:0006811 - monoatomic ion transport; GO:0034219 - carbohydrate transmembrane transport; GO:0034220 - monoatomic ion transmembrane transport	GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0046930 - pore complex	GO:0015288 - porin activity
ydbK	GO:0006979 - response to oxidative stress; GO:0022900 - electron transport chain	GO:0005886 - plasma membrane	GO:0005506 - iron ion binding; GO:0016491 - oxidoreductase activity; GO:0016903 - oxidoreductase activity, acting on the aldehyde or oxo group of donors; GO:0043873 - pyruvate-flavodoxin oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
kbp	GO:0035864 - response to potassium ion	GO:0005737 - cytoplasm	GO:0030955 - potassium ion binding
treF	GO:0005975 - carbohydrate metabolic process; GO:0005991 - trehalose metabolic process; GO:0005993 - trehalose catabolic process; GO:0071474 - cellular hyperosmotic response	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004555 - alpha,alpha-trehalase activity; GO:0016787 - hydrolase activity; GO:0016798 - hydrolase activity, acting on glycosyl bonds
yciT	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response	GO:0005829 - cytosol	GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0098531 - ligand-modulated transcription factor activity
