gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
pphA	GO:0009266 - response to temperature stimulus; GO:0110154 - RNA decapping	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004721 - phosphoprotein phosphatase activity; GO:0004722 - protein serine/threonine phosphatase activity; GO:0008138 - protein tyrosine/serine/threonine phosphatase activity; GO:0008803 - bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity; GO:0016787 - hydrolase activity; GO:0016791 - phosphatase activity; GO:0046872 - metal ion binding
elaB	GO:0006974 - DNA damage response; GO:0033554 - cellular response to stress	GO:0005829 - cytosol; GO:0005886 - plasma membrane	GO:0005515 - protein binding; GO:0043022 - ribosome binding
yhjG	GO:0090313 - regulation of protein targeting to membrane	GO:0005886 - plasma membrane	
ydbD	GO:0051595 - response to methylglyoxal	GO:0005886 - plasma membrane	
yabI	GO:0010212 - response to ionizing radiation; GO:0043093 - FtsZ-dependent cytokinesis; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane	GO:0022857 - transmembrane transporter activity
fadL	GO:0006869 - lipid transport; GO:0015909 - long-chain fatty acid transport; GO:0055085 - transmembrane transport	GO:0009279 - cell outer membrane	GO:0015483 - long-chain fatty acid transporting porin activity; GO:0022834 - ligand-gated channel activity
sucB	GO:0006099 - tricarboxylic acid cycle; GO:0033512 - L-lysine catabolic process to acetyl-CoA via saccharopine	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0045252 - oxoglutarate dehydrogenase complex	GO:0004149 - dihydrolipoyllysine-residue succinyltransferase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0031405 - lipoic acid binding
sucA	GO:0006099 - tricarboxylic acid cycle	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0045252 - oxoglutarate dehydrogenase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004591 - oxoglutarate dehydrogenase (succinyl-transferring) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0016624 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; GO:0030976 - thiamine pyrophosphate binding; GO:0042802 - identical protein binding
sdhX	GO:0040033 - sRNA-mediated post-transcriptional gene silencing		GO:0003729 - mRNA binding; GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding
sucC	GO:0006099 - tricarboxylic acid cycle; GO:0006104 - succinyl-CoA metabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009361 - succinate-CoA ligase complex (ADP-forming); GO:0042709 - succinate-CoA ligase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004775 - succinate-CoA ligase (ADP-forming) activity; GO:0004776 - succinate-CoA ligase (GDP-forming) activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0046872 - metal ion binding
sucD	GO:0006099 - tricarboxylic acid cycle; GO:0046777 - protein autophosphorylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009361 - succinate-CoA ligase complex (ADP-forming); GO:0042709 - succinate-CoA ligase complex	GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004775 - succinate-CoA ligase (ADP-forming) activity; GO:0004776 - succinate-CoA ligase (GDP-forming) activity; GO:0005515 - protein binding; GO:0016874 - ligase activity
fumC	GO:0006099 - tricarboxylic acid cycle; GO:0006106 - fumarate metabolic process; GO:0006108 - malate metabolic process; GO:0006979 - response to oxidative stress	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004333 - fumarate hydratase activity; GO:0016829 - lyase activity; GO:0042802 - identical protein binding
speC	GO:0006520 - amino acid metabolic process; GO:0008295 - spermidine biosynthetic process; GO:0033387 - putrescine biosynthetic process from arginine, via ornithine	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004586 - ornithine decarboxylase activity; GO:0016829 - lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042803 - protein homodimerization activity; GO:0097216 - guanosine tetraphosphate binding
aldB	GO:0006974 - DNA damage response; GO:0045471 - response to ethanol	GO:0005829 - cytosol	GO:0004029 - aldehyde dehydrogenase (NAD+) activity; GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0033721 - aldehyde dehydrogenase (NADP+) activity; GO:0140088 - acetaldehyde dehydrogenase (NADP+) activity
ihfA	GO:0006260 - DNA replication; GO:0006310 - DNA recombination; GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006417 - regulation of translation; GO:0009893 - positive regulation of metabolic process; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005829 - cytosol; GO:0009295 - nucleoid; GO:0032993 - protein-DNA complex; GO:1990177 - IHF-DNA complex	GO:0000976 - transcription cis-regulatory region binding; GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0030527 - structural constituent of chromatin; GO:0043565 - sequence-specific DNA binding
treA	GO:0005975 - carbohydrate metabolic process; GO:0005991 - trehalose metabolic process; GO:0005993 - trehalose catabolic process; GO:0006974 - DNA damage response; GO:0071474 - cellular hyperosmotic response	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0004555 - alpha,alpha-trehalase activity; GO:0016787 - hydrolase activity; GO:0016798 - hydrolase activity, acting on glycosyl bonds
katE	GO:0006972 - hyperosmotic response; GO:0006974 - DNA damage response; GO:0006979 - response to oxidative stress; GO:0042744 - hydrogen peroxide catabolic process; GO:0098869 - cellular oxidant detoxification	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004096 - catalase activity; GO:0004601 - peroxidase activity; GO:0005506 - iron ion binding; GO:0016491 - oxidoreductase activity; GO:0020037 - heme binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
crr	GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0034763 - negative regulation of transmembrane transport; GO:0043610 - regulation of carbohydrate utilization; GO:0045912 - negative regulation of carbohydrate metabolic process; GO:1902344 - negative regulation of maltose transport	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009898 - cytoplasmic side of plasma membrane; GO:0016020 - membrane; GO:1902495 - transmembrane transporter complex; GO:1990154 - enzyme IIA-maltose transporter complex	GO:0005515 - protein binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0046872 - metal ion binding
hmp	GO:0009636 - response to toxic substance; GO:0015671 - oxygen transport; GO:0046210 - nitric oxide catabolic process; GO:0051409 - response to nitrosative stress; GO:0071500 - cellular response to nitrosative stress	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0030288 - outer membrane-bounded periplasmic space	GO:0005344 - oxygen carrier activity; GO:0005504 - fatty acid binding; GO:0008941 - nitric oxide dioxygenase NAD(P)H activity; GO:0016491 - oxidoreductase activity; GO:0019825 - oxygen binding; GO:0020037 - heme binding; GO:0032843 - hydroperoxide reductase activity; GO:0046872 - metal ion binding; GO:0071949 - FAD binding
speB	GO:0006596 - polyamine biosynthetic process; GO:0008295 - spermidine biosynthetic process; GO:0009446 - putrescine biosynthetic process; GO:0033388 - putrescine biosynthetic process from arginine; GO:0033389 - putrescine biosynthetic process from arginine, via agmatine	GO:0005829 - cytosol	GO:0008783 - agmatinase activity; GO:0016787 - hydrolase activity; GO:0016813 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines; GO:0030145 - manganese ion binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
pabA	GO:0000162 - L-tryptophan biosynthetic process; GO:0008153 - 4-aminobenzoate biosynthetic process; GO:0008652 - amino acid biosynthetic process; GO:0009073 - aromatic amino acid family biosynthetic process; GO:0046654 - tetrahydrofolate biosynthetic process; GO:0046656 - folic acid biosynthetic process	GO:0005829 - cytosol; GO:0009356 - aminodeoxychorismate synthase complex	GO:0003824 - catalytic activity; GO:0004049 - anthranilate synthase activity; GO:0016740 - transferase activity; GO:0046820 - 4-amino-4-deoxychorismate synthase activity; GO:0046982 - protein heterodimerization activity
fic	GO:0051302 - regulation of cell division	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0070733 - AMPylase activity
yhfG	GO:0006950 - response to stress; GO:0010628 - positive regulation of gene expression		GO:0005515 - protein binding
osmC	GO:0006972 - hyperosmotic response; GO:0006979 - response to oxidative stress; GO:0033194 - response to hydroperoxide; GO:0098869 - cellular oxidant detoxification	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004601 - peroxidase activity; GO:0016209 - antioxidant activity; GO:0016491 - oxidoreductase activity; GO:0042803 - protein homodimerization activity; GO:0051920 - peroxiredoxin activity
htrE	GO:0007155 - cell adhesion; GO:0009297 - pilus assembly; GO:0043711 - pilus organization; GO:0055085 - transmembrane transport	GO:0009279 - cell outer membrane; GO:0016020 - membrane	GO:0005515 - protein binding; GO:0015473 - fimbrial usher porin activity
yadV	GO:0006457 - protein folding; GO:0007155 - cell adhesion; GO:0043711 - pilus organization; GO:0071555 - cell wall organization	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0044183 - protein folding chaperone
glgS	GO:1900191 - negative regulation of single-species biofilm formation; GO:1900232 - negative regulation of single-species biofilm formation on inanimate substrate; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility	GO:0005829 - cytosol	
proP	GO:0006865 - amino acid transport; GO:0007231 - osmosensory signaling pathway; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport; GO:0071474 - cellular hyperosmotic response; GO:0071475 - cellular hyperosmotic salinity response; GO:0098655 - monoatomic cation transmembrane transport; GO:1905647 - proline import across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0005297 - proline:proton symporter activity; GO:0005515 - protein binding; GO:0015293 - symporter activity; GO:0015294 - solute:monoatomic cation symporter activity; GO:0022857 - transmembrane transporter activity; GO:0042803 - protein homodimerization activity
glgP	GO:0005975 - carbohydrate metabolic process; GO:0005977 - glycogen metabolic process; GO:0005980 - glycogen catabolic process; GO:0018106 - peptidyl-histidine phosphorylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004645 - 1,4-alpha-oligoglucan phosphorylase activity; GO:0005515 - protein binding; GO:0008184 - glycogen phosphorylase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042803 - protein homodimerization activity
glgA	GO:0005978 - glycogen biosynthetic process; GO:0006974 - DNA damage response	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004373 - alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity; GO:0009011 - alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity
glgC	GO:0005977 - glycogen metabolic process; GO:0005978 - glycogen biosynthetic process; GO:0009250 - glucan biosynthetic process; GO:0051289 - protein homotetramerization	GO:0005829 - cytosol; GO:0010170 - glucose-1-phosphate adenylyltransferase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0005524 - ATP binding; GO:0008878 - glucose-1-phosphate adenylyltransferase activity; GO:0016208 - AMP binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0042802 - identical protein binding
yeiL	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
blc	GO:0006950 - response to stress; GO:0006974 - DNA damage response	GO:0009279 - cell outer membrane	GO:0008289 - lipid binding
xthA	GO:0006281 - DNA repair; GO:0006974 - DNA damage response	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003824 - catalytic activity; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004527 - exonuclease activity; GO:0008311 - double-stranded DNA 3'-5' DNA exonuclease activity; GO:0016787 - hydrolase activity; GO:0046872 - metal ion binding
mutS	GO:0000018 - regulation of DNA recombination; GO:0006281 - DNA repair; GO:0006298 - mismatch repair; GO:0006974 - DNA damage response	GO:0005829 - cytosol; GO:0032300 - mismatch repair complex; GO:1990710 - MutS complex	GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003684 - damaged DNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0008301 - DNA binding, bending; GO:0016887 - ATP hydrolysis activity; GO:0030983 - mismatched DNA binding; GO:0032136 - adenine/cytosine mispair binding; GO:0042802 - identical protein binding; GO:0043531 - ADP binding; GO:0140664 - ATP-dependent DNA damage sensor activity
rsd	GO:0006355 - regulation of DNA-templated transcription; GO:0010468 - regulation of gene expression; GO:0015968 - stringent response; GO:0030813 - positive regulation of nucleotide catabolic process; GO:0045892 - negative regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1903865 - sigma factor antagonist complex	GO:0001000 - bacterial-type RNA polymerase core enzyme binding; GO:0005515 - protein binding; GO:0016989 - sigma factor antagonist activity
