cell,subpopulation,label,umap_1,umap_2,pc_1,pc_2,group_axis_projection
23,A,0,2.5243513584136963,6.2596435546875,8.304474559681376,4.339658279965658,8.125416209358445
24,A,0,3.9059462547302246,6.926337718963623,6.428414840396509,-0.22461423650982645,6.389414061044916
25,A,0,4.8216023445129395,7.217408657073975,5.294102315805421,-2.6328846716650753,5.31862835850623
26,A,0,5.9646759033203125,5.6909685134887695,1.3958361390369325,-1.7576204473482673,1.5937063251469543
27,A,0,3.2091405391693115,8.511491775512695,6.064875013864702,-2.0560723461628077,6.0773306722582925
28,A,0,2.896937370300293,6.622220993041992,6.181740520615141,2.789377992267067,6.186430571039773
29,A,0,2.11136531829834,7.019056797027588,6.3162943175131545,7.652882206776281,6.5266991617114325
30,A,0,2.2689690589904785,6.951144695281982,5.0739785801931605,4.86996277828991,5.212593525870684
31,A,0,1.6855260133743286,7.076197624206543,5.1623546222794285,10.889885611482415,5.474987676013267
32,A,0,4.914150714874268,5.819335460662842,4.475752518701987,-2.463436121459745,4.553778811197878
33,A,0,4.455878257751465,7.014950275421143,6.923001174427063,-1.651727370013492,6.743819223773116
34,A,0,2.8244872093200684,7.03839111328125,7.315868423218104,0.9560090716570111,7.114724126916185
35,A,0,4.8084869384765625,7.361397743225098,4.438060652670464,-1.983457081130293,4.47940083532183
36,A,0,3.0758919715881348,6.4939703941345215,5.313898074999316,0.22302321160770708,5.352240207782788
37,A,0,3.771559715270996,6.922727584838867,5.471888458131164,-2.8040120248707274,5.4302468831927815
38,A,0,3.3023030757904053,5.532990455627441,6.670299856960695,-2.1390294724554266,6.533999383773913
39,A,0,3.6957736015319824,6.795420169830322,6.181722678637669,0.9442628708997348,6.17847358380431
40,A,0,3.580951452255249,6.812744140625,5.503446601872108,-2.627655173461522,5.426332533186618
41,A,0,4.477900505065918,8.826852798461914,5.854140272457008,-2.1775124061479523,5.868128166463751
42,A,0,2.5210368633270264,7.005942344665527,5.69283195027823,2.113465141089805,5.741230296504149
43,A,0,3.314042091369629,6.534275054931641,6.152854323794973,0.1266399242960517,6.070287291673205
44,A,0,4.553947448730469,5.364866256713867,5.940828223776318,3.913389115964558,6.118522246832789
45,A,0,2.948251724243164,7.419313430786133,5.985819579559472,2.0315861411574945,5.973004862660202
46,A,0,4.213665962219238,7.867194652557373,5.288105834584344,-1.9275556663894158,5.242133666496265
47,A,0,1.056496500968933,6.872026443481445,6.6605443034567395,13.630538642793887,6.871931264260594
48,A,0,4.839750289916992,6.850643634796143,4.918384890399122,-1.9506224669542902,4.9152402510941675
49,A,0,5.573596477508545,5.278126239776611,2.6420655214000646,-1.7839001352411046,2.8654442249322574
50,A,0,4.013111591339111,8.297094345092773,6.2276131470898175,-2.67364777350868,6.15284712229416
51,A,0,5.599167346954346,7.256704807281494,6.671594362207154,3.0269569514000914,6.714287692514912
52,A,0,5.0759453773498535,5.81722354888916,4.530290101579594,1.4242528264306282,4.6626348028962035
53,A,0,2.027991771697998,7.014381408691406,6.115665695314858,8.292206060446762,6.321226245270582
54,A,0,3.6790988445281982,7.034859657287598,6.235438071555296,1.9943311356671185,6.206121469468742
55,A,0,3.9817054271698,5.174224376678467,6.339363731378944,-2.618902648813563,6.237983236690326
56,A,0,4.13032865524292,6.570382118225098,4.896248772690092,-1.6383790322509622,4.891635298988896
57,A,0,4.619686126708984,6.402045726776123,5.670576375633353,-2.8975212980781433,5.6028999693382655
58,A,0,3.6321005821228027,6.791487693786621,4.648412712302633,-2.464655415752803,4.642070518866495
59,A,0,4.314462661743164,9.425840377807617,3.8406090110981976,-3.9850074250681304,3.8696986153485637
60,A,0,4.503485679626465,7.833169937133789,6.221708905227494,-1.607466408141009,6.14952743581376
61,A,0,4.292076110839844,6.237038612365723,5.818752570029955,-1.8493962425540262,5.694160626320452
62,A,0,4.3446269035339355,6.942848205566406,5.852329879397738,-2.4942178356058786,5.784097833541486
63,A,0,4.541623115539551,7.03445291519165,7.0758520195534365,-1.1910709041172853,6.887764204511077
64,A,0,5.157516002655029,4.964119911193848,6.9941498212993105,5.256295089096115,6.916500341151876
65,A,0,1.7437845468521118,6.767584800720215,5.23667845967068,10.656278018291424,5.495227454807933
66,A,0,2.983839273452759,7.2853569984436035,4.813555983945879,3.2810068446703653,5.012602138881704
67,A,0,2.3195459842681885,6.9950642585754395,6.600680928468841,4.970255402032874,6.6592486198960925
68,A,0,4.445975303649902,9.067305564880371,6.639763265279202,-2.838049655510412,6.512002797699362
69,A,0,4.327641010284424,9.221227645874023,5.810936792311606,-1.0327782861311272,5.767048018586677
70,A,0,3.9767844676971436,5.869924545288086,5.207361050077612,-1.794491018691459,5.140014158667154
71,A,0,3.3304522037506104,6.956385135650635,6.34099345605111,-0.4645780383922833,6.223929136051687
72,A,0,4.1365766525268555,7.41344690322876,4.436462260262258,-2.5030050371178327,4.557287613491248
73,A,0,5.239768981933594,8.085931777954102,5.5723355453666095,-2.6702954230459635,5.627307929465141
74,A,0,4.367874622344971,9.32879638671875,5.697538275991961,-1.9060173391402433,5.659720939826891
