,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
yedX,119.0,121.0,113.0
yedY,28.0,18.0,15.0
yedZ,179.0,171.0,141.0
yeeA,233.0,239.0,254.0
yeeD,57.0,67.0,51.0
yeeE,237.0,221.0,249.0
yeeF,81.0,96.0,92.0
yeeI,202.0,207.0,203.0
yeeJ,96.0,110.0,92.0
yeeL,401.0,392.0,404.0
yeeN,156.0,185.0,162.0
yeeO,114.0,97.0,108.0
yeeP,31.0,31.0,30.0
yeeR,102.0,117.0,110.0
yeeS,54.0,38.0,46.0
yeeT,0.0,1.0,0.0
yeeU,1.0,0.0,0.0
yeeV,38.0,34.0,36.0
yeeW,73.0,97.0,63.0
yeeX,60.0,65.0,71.0
yeeY,213.0,216.0,216.0
yeeZ,114.0,112.0,105.0
yefM,62.0,74.0,83.0
yegD,3.0,5.0,1.0
yegE,158.0,143.0,160.0
yegH,64.0,61.0,59.0
yegI,97.0,82.0,71.0
yegJ,147.0,183.0,141.0
yegK,125.0,112.0,107.0
yegL,89.0,89.0,115.0
yegP,76.0,58.0,60.0
yegQ,107.0,119.0,132.0
yegR,158.0,169.0,152.0
yegS,128.0,169.0,163.0
yegT,295.0,271.0,258.0
yegU,27.0,17.0,22.0
yegV,0.0,1.0,0.0
yegW,197.0,191.0,209.0
yegX,71.0,63.0,62.0
yegZ,90.0,102.0,113.0
yehA,235.0,198.0,235.0
yehB,226.0,226.0,207.0
yehC,297.0,313.0,317.0
yehD,281.0,271.0,297.0
yehE,98.0,95.0,86.0
yehI,203.0,254.0,206.0
yehK,53.0,61.0,49.0
yehL,33.0,27.0,42.0
yehM,151.0,167.0,148.0
yehP,98.0,107.0,76.0
yehQ,121.0,137.0,135.0
yehR,164.0,201.0,190.0
yehS,108.0,96.0,110.0
yehT,403.0,417.0,387.0
yehU,59.0,43.0,70.0
yehW,35.0,49.0,40.0
yehX,6.0,2.0,3.0
yehY,52.0,49.0,50.0
yehZ,92.0,104.0,107.0
yeiA,224.0,198.0,233.0
yeiB,1.0,2.0,8.0
yeiC,200.0,194.0,179.0
yeiE,1.0,1.0,0.0
yeiG,17.0,20.0,29.0
yeiH,113.0,121.0,119.0
yeiI,153.0,129.0,120.0
yeiJ,209.0,223.0,199.0
yeiL,116.0,101.0,105.0
yeiM,105.0,155.0,119.0
yeiN,235.0,221.0,187.0
yeiP,65.0,58.0,56.0
yeiQ,306.0,302.0,255.0
yeiR,6.0,1.0,5.0
yeiS,3.0,9.0,11.0
yeiT,125.0,119.0,114.0
yeiU,157.0,127.0,144.0
yeiW,0.0,0.0,0.0
yejA,137.0,152.0,138.0
yejB,203.0,204.0,207.0
yejE,190.0,167.0,186.0
yejF,51.0,36.0,31.0
yejG,2.0,3.0,1.0
yejH,94.0,94.0,105.0
yejK,105.0,94.0,100.0
yejL,0.0,1.0,0.0
yejM,53.0,61.0,41.0
yejO,198.0,223.0,195.0
yfaA,301.0,324.0,277.0
yfaD,348.0,405.0,403.0
yfaE,4.0,2.0,4.0
yfaH,196.0,167.0,188.0
yfaL,87.0,96.0,94.0
yfaP,211.0,208.0,183.0
yfaQ,95.0,91.0,82.0
yfaS,149.0,150.0,159.0
yfaT,180.0,165.0,180.0
yfaU,3.0,1.0,5.0
yfaV,46.0,62.0,51.0
yfaW,11.0,5.0,10.0
yfaX,182.0,190.0,222.0
yfaY,42.0,53.0,50.0
yfaZ,35.0,35.0,42.0
yfbB,63.0,58.0,60.0
yfbH,206.0,206.0,204.0
yfbJ,14.0,21.0,23.0
yfbK,210.0,212.0,239.0
yfbL,265.0,243.0,226.0
yfbM,245.0,236.0,234.0
yfbN,304.0,320.0,309.0
yfbO,25.0,21.0,21.0
yfbP,459.0,469.0,416.0
yfbQ,243.0,215.0,215.0
yfbR,16.0,16.0,13.0
yfbS,133.0,131.0,143.0
yfbT,53.0,50.0,36.0
yfbU,99.0,111.0,120.0
yfbV,10.0,16.0,18.0
yfbW,1.0,5.0,2.0
yfcA,3.0,3.0,2.0
yfcC,107.0,102.0,106.0
yfcD,4.0,3.0,4.0
yfcE,6.0,4.0,5.0
yfcF,117.0,120.0,116.0
yfcG,228.0,198.0,228.0
yfcH,45.0,26.0,36.0
yfcI,117.0,106.0,124.0
yfcJ,18.0,17.0,23.0
yfcL,35.0,51.0,39.0
yfcM,19.0,27.0,25.0
yfcN,3.0,5.0,0.0
yfcO,168.0,171.0,158.0
yfcP,95.0,92.0,101.0
yfcQ,47.0,40.0,50.0
yfcR,180.0,159.0,161.0
yfcS,94.0,112.0,109.0
yfcU,286.0,249.0,278.0
yfcV,682.0,663.0,645.0
yfcY,12.0,14.0,14.0
yfcZ,6.0,3.0,4.0
yfdC,36.0,48.0,45.0
yfdE,288.0,314.0,264.0
yfdF,129.0,160.0,160.0
yfdG,129.0,129.0,105.0
yfdH,294.0,303.0,263.0
yfdI,141.0,129.0,134.0
yfdK,123.0,145.0,134.0
yfdL,45.0,48.0,54.0
yfdM,12.0,15.0,21.0
yfdN,3.0,2.0,4.0
yfdO,64.0,53.0,48.0
yfdP,35.0,33.0,37.0
yfdQ,195.0,206.0,202.0
yfdR,280.0,301.0,284.0
yfdS,138.0,151.0,142.0
yfdT,19.0,23.0,41.0
yfdV,175.0,158.0,176.0
yfdX,187.0,202.0,202.0
yfdY,45.0,43.0,39.0
yfdZ,2.0,1.0,2.0
yfeA,209.0,232.0,202.0
yfeC,170.0,195.0,150.0
yfeD,9.0,8.0,16.0
yfeG,10.0,4.0,10.0
yfeH,78.0,82.0,70.0
yfeK,128.0,121.0,119.0
yfeN,163.0,176.0,173.0
yfeO,45.0,46.0,42.0
yfeR,2.0,2.0,1.0
yfeS,239.0,237.0,221.0
yfeT,439.0,416.0,467.0
yfeU,55.0,44.0,43.0
yfeW,74.0,63.0,64.0
yfeX,1.0,0.0,0.0
yfeY,105.0,95.0,92.0
yfeZ,14.0,6.0,8.0
yffB,5.0,8.0,8.0
yffI,21.0,17.0,23.0
yffL,89.0,94.0,95.0
yffM,2.0,6.0,6.0
yffN,102.0,66.0,108.0
yffO,165.0,143.0,151.0
yffP,65.0,58.0,66.0
yffQ,348.0,347.0,377.0
yffR,62.0,55.0,61.0
yffS,69.0,82.0,74.0
yfgA,37.0,27.0,35.0
yfgB,193.0,180.0,230.0
yfgC,38.0,32.0,38.0
yfgD,134.0,126.0,146.0
yfgF,143.0,132.0,158.0
yfgG,0.0,0.0,0.0
yfgH,75.0,84.0,86.0
yfgI,303.0,338.0,310.0
yfgJ,1.0,4.0,1.0
yfgL,59.0,83.0,64.0
yfgM,74.0,74.0,68.0
yfgO,0.0,0.0,0.0
yfhA,318.0,297.0,330.0
yfhB,1.0,2.0,3.0
yfhD,200.0,224.0,232.0
yfhG,12.0,7.0,15.0
yfhH,54.0,53.0,45.0
yfhJ,41.0,56.0,30.0
yfhK,36.0,51.0,55.0
yfhL,267.0,247.0,266.0
yfhM,291.0,307.0,292.0
yfhQ,22.0,31.0,18.0
yfhR,18.0,12.0,24.0
yfiB,180.0,190.0,148.0
yfiC,109.0,119.0,121.0
yfiD,67.0,91.0,86.0
yfiE,75.0,87.0,67.0
yfiF,39.0,56.0,31.0
yfiH,13.0,10.0,11.0
yfiK,85.0,75.0,57.0
yfiL,42.0,47.0,49.0
yfiM,3.0,0.0,1.0
yfiN,70.0,75.0,85.0
yfiO,47.0,66.0,61.0
yfiP,19.0,20.0,22.0
yfiQ,52.0,56.0,51.0
yfiR,104.0,87.0,123.0
yfjD,399.0,396.0,373.0
yfjF,23.0,15.0,28.0
yfjG,22.0,19.0,26.0
yfjH,518.0,469.0,500.0
yfjI,360.0,344.0,354.0
yfjJ,190.0,181.0,196.0
yfjK,135.0,160.0,135.0
yfjL,100.0,79.0,88.0
yfjM,78.0,102.0,73.0
yfjN,137.0,141.0,137.0
yfjO,268.0,263.0,290.0
yfjP,129.0,99.0,108.0
yfjQ,1.0,0.0,1.0
yfjR,12.0,12.0,17.0
yfjS,68.0,74.0,91.0
yfjT,15.0,10.0,7.0
yfjU,139.0,135.0,147.0
yfjV,71.0,64.0,80.0
yfjW,76.0,91.0,94.0
yfjX,148.0,136.0,138.0
yfjY,8.0,10.0,7.0
yfjZ,97.0,80.0,74.0
ygaC,99.0,108.0,102.0
ygaD,1.0,1.0,0.0
ygaF,2.0,0.0,0.0
ygaH,0.0,0.0,0.0
ygaM,279.0,229.0,237.0
ygaP,134.0,132.0,136.0
ygaQ,629.0,582.0,603.0
ygaT,225.0,210.0,193.0
ygaU,19.0,34.0,19.0
ygaV,9.0,5.0,9.0
ygaW,161.0,143.0,180.0
ygaY,133.0,150.0,141.0
ygaZ,1.0,8.0,0.0
ygbA,6.0,3.0,4.0
ygbE,3.0,1.0,1.0
ygbF,103.0,79.0,103.0
ygbI,429.0,434.0,489.0
ygbJ,93.0,74.0,88.0
ygbK,20.0,22.0,30.0
ygbL,28.0,29.0,24.0
ygbM,24.0,19.0,19.0
ygbN,192.0,198.0,211.0
ygbT,259.0,235.0,251.0
ygcB,137.0,143.0,156.0
ygcE,306.0,299.0,313.0
ygcF,56.0,58.0,52.0
ygcG,241.0,263.0,255.0
ygcH,156.0,187.0,192.0
ygcI,129.0,142.0,129.0
ygcJ,107.0,84.0,87.0
ygcK,229.0,236.0,241.0
ygcL,325.0,322.0,366.0
ygcN,26.0,32.0,30.0
ygcP,291.0,328.0,327.0
ygcQ,3.0,0.0,1.0
ygcR,59.0,65.0,68.0
ygcS,165.0,156.0,147.0
ygcU,213.0,190.0,199.0
ygcW,153.0,147.0,163.0
ygdB,2.0,1.0,1.0
ygdD,2.0,1.0,3.0
ygdE,141.0,177.0,137.0
ygdH,154.0,176.0,172.0
ygdI,221.0,248.0,240.0
ygdK,30.0,29.0,30.0
ygdL,3.0,6.0,3.0
ygdQ,19.0,19.0,14.0
ygdR,4.0,3.0,2.0
ygeA,4.0,0.0,1.0
ygeD,222.0,218.0,255.0
ygeF,2.0,5.0,4.0
ygeG,27.0,23.0,27.0
ygeH,192.0,208.0,162.0
ygeI,4.0,1.0,2.0
ygeK,242.0,268.0,268.0
ygeN,29.0,35.0,30.0
ygeO,7.0,7.0,7.0
ygeQ,371.0,374.0,399.0
ygeR,578.0,548.0,601.0
ygeV,183.0,143.0,173.0
ygeW,57.0,69.0,73.0
ygeX,163.0,143.0,150.0
ygeY,91.0,112.0,105.0
ygfA,16.0,10.0,4.0
ygfB,192.0,200.0,168.0
ygfF,2.0,3.0,3.0
ygfG,390.0,400.0,406.0
ygfH,157.0,152.0,126.0
ygfI,88.0,100.0,93.0
ygfJ,326.0,337.0,394.0
ygfK,276.0,267.0,270.0
ygfM,70.0,60.0,65.0
ygfO,174.0,151.0,149.0
ygfQ,84.0,95.0,105.0
ygfS,0.0,3.0,2.0
ygfT,207.0,238.0,219.0
ygfU,66.0,63.0,69.0
ygfY,107.0,106.0,119.0
ygfZ,103.0,91.0,91.0
yggC,137.0,131.0,131.0
yggD,284.0,273.0,273.0
yggE,192.0,185.0,195.0
yggF,1.0,0.0,1.0
yggG,10.0,11.0,11.0
yggJ,134.0,149.0,132.0
yggL,20.0,33.0,26.0
yggM,95.0,123.0,108.0
yggN,25.0,17.0,23.0
yggP,132.0,150.0,142.0
yggR,129.0,144.0,161.0
yggS,66.0,71.0,64.0
yggT,90.0,87.0,104.0
yggU,6.0,0.0,5.0
yggV,47.0,48.0,38.0
yggW,111.0,102.0,113.0
yggX,27.0,23.0,23.0
yghA,25.0,27.0,31.0
yghB,210.0,254.0,245.0
yghD,117.0,122.0,122.0
yghE,0.0,3.0,2.0
yghF,234.0,232.0,222.0
yghG,3.0,4.0,11.0
yghJ,199.0,193.0,231.0
yghO,358.0,364.0,340.0
yghQ,52.0,41.0,39.0
yghR,115.0,106.0,105.0
yghS,101.0,134.0,106.0
yghT,72.0,94.0,81.0
yghU,20.0,21.0,27.0
yghW,186.0,188.0,179.0
yghX,85.0,66.0,64.0
yghY,97.0,82.0,90.0
yghZ,325.0,314.0,311.0
ygiA,0.0,0.0,0.0
ygiB,28.0,36.0,34.0
ygiC,301.0,299.0,288.0
ygiD,10.0,11.0,6.0
ygiF,96.0,98.0,96.0
ygiH,72.0,72.0,69.0
ygiL,212.0,216.0,221.0
ygiN,70.0,58.0,75.0
ygiP,37.0,40.0,35.0
ygiQ,58.0,46.0,41.0
ygiS,306.0,299.0,317.0
ygiT,25.0,19.0,17.0
ygiV,0.0,2.0,3.0
ygiW,64.0,71.0,70.0
ygiZ,11.0,20.0,25.0
ygjD,59.0,50.0,64.0
ygjE,7.0,3.0,1.0
ygjG,327.0,338.0,374.0
ygjH,95.0,69.0,81.0
ygjI,109.0,81.0,89.0
ygjJ,28.0,24.0,21.0
ygjK,164.0,156.0,164.0
ygjM,12.0,15.0,14.0
ygjN,110.0,108.0,116.0
ygjO,70.0,68.0,71.0
ygjP,135.0,121.0,131.0
ygjQ,25.0,49.0,28.0
ygjR,84.0,90.0,77.0
ygjV,76.0,71.0,68.0
yhaB,112.0,107.0,103.0
yhaC,102.0,99.0,113.0
yhaH,5.0,2.0,3.0
yhaI,81.0,83.0,87.0
yhaJ,38.0,44.0,52.0
yhaK,129.0,139.0,142.0
yhaL,6.0,3.0,6.0
yhaM,38.0,28.0,39.0
yhaO,205.0,205.0,211.0
yhaV,344.0,371.0,356.0
yhbC,18.0,23.0,29.0
yhbE,29.0,33.0,35.0
yhbG,6.0,6.0,10.0
yhbJ,21.0,14.0,23.0
yhbN,42.0,55.0,68.0
yhbO,25.0,27.0,23.0
yhbP,128.0,140.0,152.0
yhbQ,0.0,1.0,0.0
yhbS,75.0,58.0,79.0
yhbT,59.0,69.0,85.0
yhbU,3.0,2.0,8.0
yhbV,1.0,6.0,3.0
yhbW,51.0,41.0,56.0
yhbX,246.0,243.0,263.0
yhbY,1.0,1.0,1.0
yhcA,190.0,194.0,174.0
yhcB,156.0,172.0,155.0
yhcC,36.0,30.0,34.0
yhcD,115.0,138.0,110.0
yhcE,138.0,109.0,119.0
yhcF,293.0,353.0,308.0
yhcG,285.0,305.0,281.0
yhcH,114.0,110.0,119.0
yhcM,117.0,148.0,145.0
yhcN,0.0,2.0,1.0
yhcO,65.0,59.0,69.0
yhdA,161.0,162.0,160.0
yhdE,123.0,119.0,105.0
yhdH,203.0,195.0,197.0
yhdJ,221.0,226.0,202.0
yhdL,305.0,320.0,303.0
yhdN,116.0,118.0,112.0
yhdP,332.0,311.0,301.0
yhdT,2.0,2.0,0.0
yhdU,49.0,55.0,57.0
yhdV,89.0,65.0,69.0
yhdW,283.0,345.0,296.0
yhdX,97.0,90.0,59.0
yhdY,143.0,134.0,141.0
yhdZ,274.0,254.0,253.0
yheL,0.0,0.0,2.0
yheM,17.0,18.0,22.0
yheN,4.0,1.0,2.0
yheO,144.0,201.0,168.0
yheS,44.0,62.0,41.0
yheT,3.0,0.0,1.0
yheU,144.0,167.0,178.0
yheV,61.0,52.0,43.0
yhfA,1.0,4.0,0.0
yhfG,1.0,1.0,1.0
yhfK,104.0,124.0,101.0
yhfL,181.0,178.0,178.0
yhfS,0.0,1.0,3.0
yhfT,1.0,1.0,0.0
yhfU,7.0,3.0,17.0
yhfW,59.0,50.0,67.0
yhfX,146.0,156.0,116.0
yhfY,123.0,127.0,113.0
yhfZ,499.0,486.0,463.0
yhgA,334.0,348.0,324.0
yhgE,134.0,126.0,136.0
yhgF,48.0,37.0,30.0
yhgG,3.0,1.0,2.0
yhgN,1.0,0.0,1.0
yhhA,88.0,71.0,88.0
yhhF,35.0,45.0,41.0
yhhH,4.0,1.0,3.0
yhhI,145.0,144.0,131.0
yhhJ,81.0,65.0,110.0
yhhK,0.0,1.0,0.0
yhhL,3.0,5.0,10.0
yhhM,9.0,10.0,18.0
yhhN,16.0,10.0,20.0
yhhQ,143.0,138.0,112.0
yhhS,123.0,132.0,117.0
yhhT,135.0,148.0,164.0
yhhW,78.0,54.0,62.0
yhhX,108.0,128.0,111.0
yhhY,14.0,19.0,23.0
yhhZ,299.0,286.0,306.0
yhiD,256.0,234.0,224.0
yhiF,225.0,216.0,213.0
yhiI,0.0,0.0,0.0
yhiJ,234.0,242.0,216.0
yhiL,266.0,296.0,257.0
yhiM,207.0,187.0,207.0
yhiN,0.0,0.0,0.0
yhiP,127.0,146.0,129.0
yhiQ,0.0,0.0,1.0
yhiR,34.0,16.0,40.0
yhiS,251.0,244.0,242.0
yhjA,243.0,236.0,254.0
yhjB,329.0,365.0,342.0
yhjC,49.0,51.0,38.0
yhjD,17.0,13.0,20.0
yhjE,219.0,263.0,242.0
yhjG,228.0,238.0,225.0
yhjH,27.0,32.0,29.0
yhjJ,135.0,116.0,125.0
yhjK,348.0,351.0,355.0
yhjQ,78.0,73.0,78.0
yhjR,230.0,223.0,229.0
yhjV,159.0,147.0,149.0
yhjX,53.0,52.0,46.0
yhjY,84.0,99.0,97.0
yiaA,179.0,176.0,175.0
yiaB,199.0,200.0,210.0
yiaC,10.0,8.0,8.0
yiaD,132.0,142.0,141.0
yiaF,146.0,136.0,148.0
yiaG,58.0,44.0,52.0
yiaH,115.0,115.0,125.0
yiaJ,2.0,3.0,2.0
yiaK,6.0,6.0,4.0
yiaL,92.0,104.0,106.0
yiaM,1.0,2.0,1.0
yiaN,120.0,116.0,127.0
yiaO,44.0,43.0,41.0
yiaT,218.0,263.0,245.0
yiaU,124.0,118.0,128.0
yiaV,9.0,11.0,5.0
yiaW,56.0,35.0,47.0
yiaY,224.0,203.0,210.0
yibA,214.0,218.0,201.0
yibD,153.0,151.0,157.0
yibF,5.0,15.0,11.0
yibG,157.0,202.0,201.0
yibH,147.0,171.0,152.0
yibI,1.0,2.0,3.0
yibJ,124.0,100.0,122.0
yibK,35.0,43.0,34.0
yibL,7.0,16.0,11.0
yibN,136.0,135.0,134.0
yibQ,111.0,79.0,126.0
yibT,14.0,15.0,16.0
yicC,66.0,96.0,99.0
yicE,2.0,0.0,0.0
yicG,120.0,110.0,116.0
yicH,226.0,236.0,205.0
yicI,157.0,140.0,172.0
yicJ,152.0,163.0,169.0
yicL,109.0,117.0,120.0
yicN,246.0,201.0,237.0
yicO,143.0,147.0,144.0
yicR,40.0,41.0,48.0
yicS,31.0,36.0,33.0
yidA,79.0,76.0,88.0
yidB,1.0,2.0,2.0
yidC,30.0,20.0,52.0
yidD,1.0,1.0,0.0
yidE,28.0,22.0,23.0
yidF,56.0,52.0,47.0
yidG,0.0,0.0,0.0
yidH,56.0,90.0,61.0
yidI,157.0,130.0,164.0
yidJ,140.0,141.0,160.0
yidK,352.0,399.0,401.0
yidL,244.0,227.0,259.0
yidP,68.0,71.0,79.0
yidQ,0.0,3.0,0.0
yidR,232.0,229.0,236.0
yidX,121.0,156.0,139.0
yidZ,32.0,26.0,30.0
yieE,3.0,3.0,5.0
yieF,53.0,40.0,45.0
yieG,20.0,31.0,18.0
yieH,241.0,261.0,302.0
yieI,230.0,189.0,231.0
yieK,140.0,155.0,159.0
yieL,183.0,225.0,212.0
yieP,277.0,294.0,300.0
yifB,141.0,159.0,158.0
yifE,3.0,6.0,5.0
yifK,250.0,267.0,289.0
yifL,1.0,0.0,2.0
yifN,53.0,48.0,41.0
yifO,123.0,137.0,155.0
yigA,100.0,123.0,136.0
yigB,0.0,1.0,2.0
yigE,224.0,219.0,228.0
yigF,2.0,3.0,2.0
yigG,234.0,256.0,237.0
yigI,111.0,103.0,130.0
yigL,149.0,151.0,171.0
yigM,1.0,0.0,0.0
yigP,0.0,0.0,1.0
yigZ,152.0,158.0,172.0
yihA,61.0,60.0,58.0
yihD,2.0,3.0,1.0
yihE,267.0,275.0,266.0
yihF,84.0,82.0,77.0
yihG,269.0,286.0,306.0
yihI,140.0,142.0,164.0
yihL,11.0,15.0,10.0
yihM,260.0,271.0,275.0
yihN,131.0,137.0,156.0
yihO,155.0,162.0,156.0
yihP,152.0,156.0,143.0
yihQ,53.0,56.0,57.0
yihR,152.0,162.0,183.0
yihS,266.0,266.0,263.0
yihT,38.0,43.0,34.0
yihU,0.0,0.0,0.0
yihV,12.0,13.0,9.0
yihW,65.0,62.0,42.0
yihX,42.0,49.0,63.0
yiiD,147.0,140.0,155.0
yiiE,1.0,0.0,0.0
yiiF,135.0,155.0,120.0
yiiG,168.0,225.0,192.0
yiiM,0.0,1.0,1.0
yiiQ,3.0,6.0,0.0
yiiR,114.0,124.0,98.0
yiiS,72.0,60.0,72.0
yiiT,119.0,139.0,134.0
yiiU,53.0,42.0,54.0
yiiX,87.0,89.0,71.0
yijD,69.0,59.0,53.0
yijE,97.0,117.0,96.0
yijF,111.0,99.0,94.0
yijO,35.0,50.0,32.0
yijP,111.0,125.0,122.0
yjaA,45.0,40.0,44.0
yjaB,23.0,25.0,20.0
yjaG,152.0,124.0,103.0
yjaH,1.0,0.0,3.0
yjbB,29.0,45.0,33.0
yjbD,39.0,38.0,34.0
yjbE,0.0,0.0,1.0
yjbF,37.0,36.0,32.0
yjbG,16.0,7.0,12.0
yjbH,459.0,427.0,428.0
yjbI,195.0,193.0,191.0
yjbJ,210.0,244.0,222.0
yjbL,1.0,0.0,1.0
yjbM,152.0,152.0,154.0
yjbO,0.0,0.0,0.0
yjbQ,117.0,125.0,130.0
yjbR,1.0,1.0,0.0
yjcB,39.0,37.0,45.0
yjcC,128.0,123.0,114.0
yjcD,96.0,89.0,86.0
yjcE,7.0,19.0,20.0
yjcF,252.0,269.0,252.0
yjcH,60.0,72.0,60.0
yjcO,176.0,152.0,175.0
yjcP,650.0,637.0,628.0
yjcQ,127.0,140.0,128.0
yjcR,15.0,17.0,15.0
yjcS,245.0,294.0,288.0
yjcZ,0.0,0.0,0.0
yjdA,113.0,111.0,142.0
yjdC,87.0,83.0,80.0
yjdF,16.0,14.0,15.0
yjdI,2.0,3.0,0.0
yjdJ,146.0,152.0,152.0
yjdK,89.0,80.0,82.0
yjdL,141.0,157.0,157.0
yjdO,0.0,0.0,0.0
yjdP,103.0,114.0,103.0
yjeE,30.0,26.0,24.0
yjeF,18.0,27.0,23.0
yjeH,1.0,1.0,0.0
yjeI,1.0,1.0,0.0
yjeJ,138.0,145.0,142.0
yjeK,162.0,138.0,155.0
yjeM,196.0,182.0,155.0
yjeN,0.0,1.0,0.0
yjeO,98.0,105.0,118.0
yjeP,256.0,227.0,247.0
yjeS,81.0,78.0,85.0
yjeT,3.0,0.0,0.0
yjfC,31.0,28.0,25.0
yjfF,47.0,50.0,42.0
yjfI,156.0,180.0,179.0
yjfJ,153.0,173.0,168.0
yjfK,151.0,144.0,139.0
yjfL,25.0,17.0,14.0
yjfM,116.0,128.0,146.0
yjfN,1.0,1.0,0.0
yjfO,29.0,42.0,41.0
yjfP,72.0,81.0,67.0
yjfY,68.0,84.0,95.0
yjfZ,195.0,191.0,188.0
yjgA,132.0,136.0,138.0
yjgB,134.0,140.0,146.0
yjgF,70.0,64.0,67.0
yjgH,13.0,13.0,15.0
yjgI,36.0,49.0,42.0
yjgJ,84.0,70.0,74.0
yjgK,170.0,164.0,166.0
yjgL,124.0,123.0,137.0
yjgM,233.0,251.0,226.0
yjgN,293.0,286.0,267.0
yjgP,146.0,178.0,162.0
yjgQ,175.0,176.0,177.0
yjgR,296.0,302.0,290.0
yjgW,53.0,48.0,34.0
yjgX,185.0,146.0,153.0
yjgZ,0.0,0.0,1.0
yjhA,283.0,260.0,243.0
yjhB,79.0,64.0,73.0
yjhC,198.0,201.0,209.0
yjhD,161.0,141.0,154.0
yjhE,3.0,10.0,9.0
yjhF,80.0,109.0,138.0
yjhG,174.0,198.0,181.0
yjhH,20.0,28.0,25.0
yjhI,336.0,350.0,330.0
yjhP,22.0,10.0,8.0
yjhQ,0.0,0.0,1.0
yjhR,213.0,197.0,183.0
yjhS,214.0,208.0,207.0
yjhT,67.0,55.0,61.0
yjhU,63.0,57.0,53.0
yjhV,246.0,241.0,233.0
yjhW,28.0,28.0,11.0
yjhX,105.0,125.0,110.0
yjiA,201.0,229.0,193.0
yjiC,96.0,108.0,131.0
yjiD,30.0,30.0,22.0
yjiE,11.0,3.0,6.0
yjiG,11.0,11.0,14.0
yjiH,4.0,4.0,6.0
yjiJ,2.0,0.0,0.0
yjiK,106.0,118.0,119.0
yjiL,3.0,5.0,2.0
yjiM,218.0,220.0,223.0
yjiN,161.0,182.0,173.0
yjiO,81.0,77.0,75.0
yjiP,546.0,536.0,545.0
yjiR,105.0,99.0,98.0
yjiS,1.0,0.0,1.0
yjiT,192.0,189.0,193.0
yjiV,251.0,236.0,238.0
yjiW,1.0,1.0,0.0
yjiX,0.0,0.0,1.0
yjiY,26.0,17.0,18.0
yjiZ,97.0,85.0,99.0
yjjA,0.0,1.0,2.0
yjjB,47.0,47.0,46.0
yjjG,222.0,160.0,189.0
yjjI,193.0,225.0,248.0
yjjJ,2.0,1.0,0.0
yjjK,249.0,232.0,231.0
yjjM,198.0,202.0,219.0
yjjN,253.0,219.0,240.0
yjjP,250.0,277.0,283.0
yjjQ,382.0,347.0,391.0
yjjU,50.0,52.0,51.0
yjjV,65.0,64.0,64.0
yjjW,0.0,0.0,0.0
yjjX,10.0,20.0,8.0
yjjY,11.0,17.0,17.0
yjjZ,161.0,140.0,167.0
yjtD,138.0,142.0,117.0
ykfA,196.0,221.0,217.0
ykfB,24.0,25.0,26.0
ykfC,253.0,235.0,226.0
ykfF,7.0,9.0,12.0
ykfG,13.0,18.0,12.0
ykfH,0.0,0.0,1.0
ykfI,1.0,1.0,0.0
ykfJ,1.0,1.0,0.0
ykgA,213.0,213.0,192.0
ykgB,236.0,239.0,226.0
ykgC,147.0,153.0,173.0
ykgD,88.0,94.0,80.0
ykgE,46.0,43.0,52.0
ykgF,85.0,90.0,118.0
ykgG,18.0,23.0,27.0
ykgH,229.0,210.0,186.0
ykgI,157.0,147.0,147.0
ykgJ,24.0,21.0,22.0
ykgK,226.0,262.0,250.0
ykgL,141.0,157.0,136.0
ykgM,145.0,122.0,135.0
ykgN,349.0,325.0,312.0
ykgO,70.0,95.0,86.0
ykiA,3.0,3.0,6.0
ykiB,1.0,1.0,1.0
ylaB,139.0,118.0,140.0
ylaC,38.0,26.0,26.0
ylbA,79.0,60.0,68.0
ylbE,7.0,1.0,8.0
ylbF,1.0,0.0,1.0
ylbG,123.0,129.0,141.0
ylbH,274.0,277.0,268.0
yliA,80.0,102.0,110.0
yliB,208.0,224.0,207.0
yliC,46.0,39.0,50.0
yliD,126.0,123.0,101.0
yliE,106.0,118.0,134.0
yliF,220.0,210.0,218.0
yliG,111.0,97.0,102.0
yliI,93.0,114.0,119.0
yliJ,123.0,118.0,116.0
yliK,43.0,53.0,51.0
yliL,97.0,105.0,102.0
ymbA,227.0,211.0,196.0
ymcB,27.0,45.0,34.0
ymcC,155.0,163.0,181.0
ymcE,55.0,48.0,54.0
ymdA,22.0,23.0,14.0
ymdB,26.0,17.0,21.0
ymdC,165.0,151.0,146.0
ymdE,20.0,17.0,20.0
ymdF,13.0,18.0,20.0
ymfA,89.0,90.0,83.0
ymfD,32.0,28.0,30.0
ymfE,44.0,38.0,48.0
ymfG,139.0,133.0,148.0
ymfH,5.0,6.0,4.0
ymfI,407.0,402.0,366.0
ymfJ,3.0,5.0,7.0
ymfK,350.0,365.0,343.0
ymfL,48.0,43.0,37.0
ymfM,2.0,1.0,4.0
ymfN,25.0,18.0,28.0
ymfO,13.0,12.0,10.0
ymfP,47.0,44.0,41.0
ymfQ,0.0,0.0,1.0
ymfR,29.0,37.0,31.0
ymfS,417.0,434.0,411.0
ymfT,1.0,2.0,1.0
ymgA,128.0,127.0,123.0
ymgB,123.0,93.0,85.0
ymgC,52.0,48.0,46.0
ymgD,9.0,15.0,11.0
ymgE,2.0,0.0,0.0
ymgF,12.0,4.0,2.0
ymgG,11.0,9.0,8.0
