,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
pflB,285.0,318.0,293.0
pflC,60.0,65.0,54.0
pflD,199.0,195.0,208.0
pgaA,142.0,136.0,139.0
pgaB,130.0,132.0,130.0
pgaC,91.0,101.0,91.0
pgaD,125.0,144.0,161.0
pgi,57.0,58.0,60.0
pgk,117.0,109.0,126.0
pgl,246.0,261.0,262.0
pgm,273.0,276.0,258.0
pgpA,17.0,16.0,18.0
pgpB,156.0,181.0,189.0
pgsA,0.0,0.0,0.0
pheA,180.0,195.0,197.0
pheL,1.0,9.0,2.0
pheP,1.0,0.0,1.0
pheT,171.0,202.0,157.0
phnA,34.0,35.0,41.0
phnB,1.0,2.0,1.0
phnC,0.0,0.0,2.0
phnD,1.0,0.0,0.0
phnE,121.0,113.0,123.0
phnF,1.0,3.0,4.0
phnG,0.0,0.0,0.0
phnH,1.0,0.0,1.0
phnI,0.0,1.0,1.0
phnJ,133.0,138.0,115.0
phnK,96.0,89.0,109.0
phnL,0.0,3.0,1.0
phnM,52.0,36.0,57.0
phnN,182.0,236.0,199.0
phnO,0.0,0.0,0.0
phnP,0.0,2.0,2.0
phoA,0.0,1.0,0.0
phoB,2.0,4.0,3.0
phoE,117.0,111.0,94.0
phoH,129.0,116.0,112.0
phoP,308.0,338.0,309.0
phoQ,130.0,130.0,115.0
phoR,101.0,106.0,105.0
phoU,164.0,134.0,133.0
php,26.0,42.0,27.0
phr,170.0,177.0,165.0
pin,68.0,56.0,59.0
pinH,19.0,22.0,23.0
pinQ,145.0,180.0,162.0
pinR,68.0,82.0,91.0
pioO,16.0,10.0,13.0
pitA,24.0,35.0,26.0
pitB,2.0,1.0,3.0
pldA,20.0,19.0,21.0
pldB,0.0,0.0,1.0
plsB,203.0,195.0,193.0
plsC,95.0,106.0,95.0
plsX,313.0,358.0,299.0
pmbA,60.0,47.0,50.0
pmrD,74.0,77.0,54.0
pncA,39.0,52.0,49.0
pncB,223.0,215.0,196.0
pnp,70.0,69.0,66.0
pntA,129.0,114.0,130.0
pntB,293.0,326.0,295.0
pnuC,113.0,125.0,101.0
polA,87.0,86.0,88.0
polB,2.0,2.0,4.0
potA,70.0,67.0,61.0
potB,51.0,69.0,58.0
potC,0.0,0.0,0.0
potD,236.0,219.0,248.0
potE,189.0,211.0,192.0
potF,15.0,20.0,21.0
potG,32.0,38.0,42.0
potH,99.0,107.0,81.0
potI,0.0,3.0,0.0
poxA,20.0,21.0,24.0
poxB,78.0,83.0,89.0
ppa,2.0,0.0,1.0
ppc,146.0,139.0,130.0
ppdA,0.0,0.0,0.0
ppdB,35.0,58.0,39.0
ppdC,0.0,1.0,1.0
ppdD,66.0,74.0,68.0
pphA,258.0,297.0,269.0
pphB,91.0,96.0,97.0
ppiA,0.0,0.0,0.0
ppiB,42.0,33.0,40.0
ppiC,158.0,143.0,143.0
ppiD,141.0,172.0,146.0
ppk,81.0,86.0,100.0
pppA,138.0,119.0,127.0
pps,209.0,231.0,230.0
ppx,95.0,110.0,106.0
pqiA,190.0,194.0,194.0
pqiB,92.0,81.0,102.0
pqqL,31.0,31.0,29.0
prc,128.0,150.0,136.0
prfA,174.0,172.0,168.0
prfB,70.0,84.0,92.0
prfC,21.0,25.0,16.0
prfH,26.0,33.0,18.0
priA,2.0,1.0,0.0
priB,2.0,1.0,2.0
priC,0.0,0.0,0.0
prkB,154.0,176.0,140.0
prlC,228.0,226.0,209.0
prmA,16.0,16.0,12.0
prmB,79.0,91.0,94.0
prmC,9.0,12.0,10.0
proA,71.0,72.0,76.0
proB,0.0,3.0,2.0
proC,20.0,21.0,30.0
proP,433.0,470.0,434.0
proQ,23.0,20.0,19.0
proS,78.0,90.0,77.0
proV,204.0,209.0,214.0
proW,0.0,0.0,0.0
proX,37.0,41.0,50.0
proY,0.0,2.0,0.0
prpB,63.0,63.0,63.0
prpC,2.0,0.0,2.0
prpD,29.0,35.0,27.0
prpE,6.0,10.0,11.0
prpR,122.0,88.0,81.0
prsA,64.0,69.0,87.0
psd,127.0,157.0,133.0
psiE,119.0,124.0,125.0
psiF,69.0,66.0,52.0
pspA,144.0,128.0,131.0
pspB,24.0,33.0,20.0
pspC,36.0,53.0,46.0
pspD,0.0,0.0,0.0
pspE,23.0,30.0,17.0
pspF,161.0,182.0,155.0
pssA,66.0,73.0,71.0
pstA,17.0,22.0,28.0
pstB,23.0,32.0,38.0
pstC,65.0,51.0,54.0
pstS,20.0,15.0,20.0
pta,267.0,253.0,258.0
pth,154.0,142.0,131.0
ptrA,259.0,243.0,255.0
ptrB,98.0,132.0,103.0
ptsA,6.0,4.0,2.0
ptsG,29.0,25.0,26.0
ptsH,82.0,95.0,91.0
ptsI,203.0,202.0,197.0
ptsN,44.0,39.0,54.0
ptsP,24.0,9.0,17.0
purA,441.0,412.0,397.0
purB,77.0,79.0,72.0
purC,6.0,5.0,4.0
purD,17.0,18.0,18.0
purE,33.0,40.0,34.0
purF,54.0,57.0,52.0
purH,265.0,302.0,267.0
purK,51.0,39.0,58.0
purL,420.0,455.0,436.0
purM,73.0,76.0,69.0
purN,2.0,0.0,1.0
purR,271.0,272.0,274.0
purT,13.0,11.0,16.0
purU,148.0,162.0,171.0
putA,18.0,39.0,31.0
putP,95.0,122.0,126.0
puuA,28.0,32.0,37.0
puuB,104.0,117.0,105.0
puuC,18.0,21.0,17.0
puuD,125.0,91.0,125.0
puuE,1.0,5.0,4.0
puuP,160.0,154.0,167.0
puuR,218.0,236.0,198.0
pykA,4.0,6.0,15.0
pykF,94.0,114.0,115.0
pyrB,63.0,50.0,68.0
pyrC,149.0,138.0,124.0
pyrD,174.0,160.0,149.0
pyrE,223.0,238.0,200.0
pyrF,14.0,8.0,9.0
pyrG,324.0,353.0,337.0
pyrH,88.0,93.0,85.0
pyrI,13.0,8.0,6.0
pyrL,25.0,27.0,29.0
qor,34.0,45.0,37.0
qseB,22.0,19.0,22.0
qseC,0.0,2.0,1.0
queA,3.0,3.0,4.0
queC,40.0,30.0,31.0
queF,95.0,98.0,79.0
racC,129.0,136.0,149.0
racR,108.0,126.0,120.0
radA,67.0,102.0,81.0
raiA,59.0,75.0,64.0
rarA,1.0,3.0,5.0
rarD,37.0,42.0,25.0
ravA,110.0,96.0,91.0
rbbA,40.0,40.0,49.0
rbfA,4.0,2.0,1.0
rbn,10.0,13.0,20.0
rbsA,230.0,242.0,212.0
rbsB,30.0,20.0,27.0
rbsC,71.0,88.0,96.0
rbsD,17.0,15.0,16.0
rbsK,196.0,187.0,201.0
rbsR,56.0,56.0,54.0
rcsA,316.0,313.0,278.0
rcsB,62.0,60.0,51.0
rcsC,167.0,161.0,141.0
rcsD,204.0,192.0,180.0
rcsF,59.0,57.0,66.0
rdgC,5.0,6.0,7.0
recA,0.0,1.0,1.0
recB,103.0,89.0,84.0
recC,130.0,139.0,143.0
recD,30.0,35.0,38.0
recE,132.0,137.0,125.0
recF,49.0,69.0,53.0
recG,0.0,4.0,2.0
recJ,107.0,119.0,99.0
recN,159.0,141.0,147.0
recO,50.0,51.0,41.0
recQ,80.0,89.0,82.0
recR,3.0,0.0,4.0
recT,47.0,47.0,47.0
recX,3.0,1.0,1.0
relA,78.0,79.0,81.0
relB,88.0,86.0,75.0
relE,21.0,17.0,12.0
rem,37.0,47.0,52.0
rep,106.0,90.0,90.0
rfaB,82.0,119.0,85.0
rfaC,77.0,67.0,66.0
rfaD,3.0,4.0,2.0
rfaE,31.0,37.0,27.0
rfaF,17.0,22.0,15.0
rfaG,135.0,125.0,119.0
rfaH,18.0,19.0,16.0
rfaI,114.0,143.0,114.0
rfaJ,148.0,145.0,142.0
rfaK,32.0,44.0,38.0
rfaL,192.0,198.0,172.0
rfaP,222.0,225.0,218.0
rfaQ,120.0,117.0,120.0
rfaS,2.0,1.0,0.0
rfaY,84.0,102.0,82.0
rfaZ,128.0,114.0,110.0
rfbA,123.0,115.0,132.0
rfbB,108.0,115.0,123.0
rfbC,507.0,559.0,562.0
rfbD,381.0,333.0,322.0
rfbX,239.0,233.0,217.0
rfe,81.0,72.0,85.0
rffA,106.0,128.0,117.0
rffC,0.0,0.0,0.0
rffD,168.0,176.0,147.0
rffE,143.0,155.0,145.0
rffG,79.0,78.0,78.0
rffH,107.0,116.0,128.0
rffM,157.0,185.0,154.0
rffT,35.0,32.0,24.0
rhaA,0.0,2.0,0.0
rhaB,82.0,97.0,89.0
rhaD,28.0,39.0,19.0
rhaM,0.0,1.0,0.0
rhaR,140.0,125.0,145.0
rhaS,76.0,56.0,55.0
rhaT,25.0,30.0,24.0
rhlB,182.0,202.0,203.0
rhlE,10.0,32.0,20.0
rho,267.0,303.0,293.0
rhoL,1.0,0.0,1.0
rhsA,68.0,80.0,68.0
rhsB,309.0,319.0,297.0
rhsC,182.0,195.0,177.0
rhsD,72.0,80.0,71.0
rhsE,130.0,132.0,134.0
rhtA,9.0,3.0,9.0
rhtB,71.0,65.0,65.0
rhtC,33.0,39.0,44.0
ribA,103.0,115.0,96.0
ribB,53.0,58.0,40.0
ribC,149.0,162.0,132.0
ribD,135.0,117.0,106.0
ribE,1.0,4.0,2.0
ribF,49.0,36.0,40.0
rihA,41.0,40.0,38.0
rihB,131.0,130.0,120.0
rihC,114.0,108.0,102.0
rimI,9.0,8.0,16.0
rimJ,182.0,193.0,198.0
rimK,1.0,3.0,0.0
rimL,259.0,274.0,255.0
rimM,106.0,104.0,85.0
rlmB,37.0,30.0,27.0
rlmL,173.0,146.0,156.0
rlpA,0.0,1.0,2.0
rlpB,42.0,36.0,39.0
rluA,45.0,51.0,54.0
rluB,16.0,13.0,14.0
rluC,4.0,3.0,5.0
rluD,36.0,33.0,37.0
rluE,71.0,91.0,86.0
rluF,14.0,33.0,25.0
rmf,3.0,4.0,1.0
rmuC,0.0,0.0,0.0
rna,183.0,186.0,149.0
rnb,218.0,200.0,212.0
rnc,92.0,115.0,97.0
rnd,118.0,110.0,104.0
rne,341.0,344.0,351.0
rng,18.0,12.0,21.0
rnhA,0.0,0.0,1.0
rnhB,21.0,21.0,22.0
rnk,40.0,36.0,46.0
rnpA,6.0,5.0,5.0
rnr,1.0,0.0,1.0
rnt,4.0,1.0,4.0
rob,16.0,15.0,12.0
rof,73.0,76.0,87.0
rpe,96.0,86.0,73.0
rph,1.0,0.0,1.0
rpiA,41.0,58.0,60.0
rpiB,12.0,16.0,9.0
rpiR,128.0,104.0,127.0
rplA,635.0,598.0,542.0
rplB,12.0,20.0,11.0
rplC,1418.0,1347.0,1403.0
rplD,1235.0,1044.0,1119.0
rplE,592.0,558.0,553.0
rplF,945.0,853.0,864.0
rplI,387.0,359.0,365.0
rplJ,721.0,642.0,700.0
rplK,34.0,33.0,37.0
rplL,1764.0,1650.0,1694.0
rplM,4.0,7.0,5.0
rplN,753.0,701.0,698.0
rplO,2040.0,1862.0,2006.0
rplP,6.0,10.0,9.0
rplQ,217.0,250.0,207.0
rplR,624.0,525.0,563.0
rplS,335.0,342.0,332.0
rplT,325.0,307.0,320.0
rplU,15.0,14.0,18.0
rplV,362.0,330.0,365.0
rplW,1099.0,1048.0,1031.0
rplX,486.0,475.0,501.0
rplY,3.0,6.0,6.0
rpmA,93.0,101.0,89.0
rpmB,1.0,7.0,3.0
rpmC,1941.0,1895.0,1920.0
rpmD,443.0,404.0,421.0
rpmE,1.0,2.0,2.0
rpmF,62.0,67.0,63.0
rpmG,82.0,86.0,97.0
rpmH,10.0,10.0,8.0
rpmI,23.0,27.0,20.0
rpmJ,17.0,25.0,12.0
rpoA,1453.0,1339.0,1377.0
rpoB,356.0,364.0,346.0
rpoC,500.0,473.0,510.0
rpoD,176.0,180.0,154.0
rpoE,174.0,176.0,144.0
rpoH,70.0,71.0,78.0
rpoN,69.0,64.0,59.0
rpoS,249.0,207.0,211.0
rpoZ,65.0,55.0,71.0
rpsA,1015.0,992.0,1017.0
rpsB,118.0,103.0,94.0
rpsC,203.0,207.0,214.0
rpsD,1910.0,1655.0,1717.0
rpsE,758.0,745.0,726.0
rpsF,56.0,68.0,62.0
rpsG,126.0,130.0,141.0
rpsH,210.0,197.0,214.0
rpsI,2.0,3.0,4.0
rpsJ,10.0,8.0,6.0
rpsK,1830.0,1640.0,1620.0
rpsM,308.0,296.0,356.0
rpsN,1044.0,882.0,948.0
rpsO,0.0,1.0,2.0
rpsP,1.0,0.0,1.0
rpsQ,398.0,359.0,360.0
rpsR,77.0,88.0,75.0
rpsS,105.0,82.0,71.0
rpsT,0.0,0.0,1.0
rpsU,28.0,31.0,21.0
rraA,142.0,182.0,131.0
rraB,86.0,73.0,81.0
rrfB,63518.0,58397.0,60462.0
rrmA,163.0,169.0,172.0
rrmJ,264.0,231.0,222.0
rsd,124.0,163.0,120.0
rseA,47.0,64.0,66.0
rseB,419.0,419.0,429.0
rseC,0.0,2.0,1.0
rseP,125.0,124.0,129.0
rsgA,51.0,62.0,57.0
rsmB,27.0,31.0,22.0
rsmC,49.0,61.0,54.0
rspA,77.0,86.0,76.0
rspB,275.0,253.0,260.0
rssA,292.0,281.0,308.0
rssB,89.0,77.0,78.0
rstA,125.0,170.0,168.0
rstB,68.0,67.0,67.0
rsuA,42.0,63.0,55.0
rsxA,86.0,69.0,88.0
rsxB,0.0,1.0,0.0
rsxC,88.0,105.0,100.0
rsxD,6.0,4.0,4.0
rsxE,37.0,42.0,54.0
rsxG,0.0,1.0,0.0
rtcA,0.0,1.0,0.0
rtcB,291.0,292.0,268.0
rtcR,0.0,2.0,2.0
rtn,179.0,194.0,192.0
rumA,151.0,137.0,126.0
rumB,0.0,0.0,0.0
rusA,5.0,4.0,2.0
rutF,33.0,23.0,30.0
ruvA,142.0,146.0,140.0
ruvB,348.0,364.0,345.0
ruvC,0.0,0.0,0.0
rzpR,0.0,0.0,1.0
sanA,112.0,75.0,88.0
sapA,13.0,16.0,24.0
sapB,42.0,31.0,35.0
sapC,2.0,1.0,1.0
sapD,84.0,86.0,71.0
sapF,19.0,30.0,16.0
sbcB,89.0,133.0,133.0
sbcC,116.0,114.0,118.0
sbcD,147.0,149.0,165.0
sbmA,198.0,209.0,183.0
sbmC,148.0,150.0,151.0
sbp,127.0,127.0,141.0
sdaA,65.0,91.0,66.0
sdaB,126.0,131.0,109.0
sdaC,142.0,157.0,135.0
sdhA,2.0,0.0,0.0
sdhB,19.0,20.0,18.0
sdhC,102.0,103.0,129.0
sdhD,0.0,0.0,0.0
sdiA,369.0,421.0,393.0
secA,294.0,299.0,293.0
secB,29.0,38.0,34.0
secD,166.0,165.0,180.0
secE,0.0,0.0,0.0
secF,71.0,80.0,70.0
secG,274.0,285.0,261.0
secM,65.0,84.0,81.0
secY,553.0,532.0,582.0
selA,48.0,60.0,50.0
selB,5.0,1.0,0.0
selD,32.0,33.0,38.0
seqA,31.0,28.0,21.0
serA,202.0,197.0,188.0
serB,5.0,7.0,3.0
serC,283.0,271.0,273.0
serS,130.0,121.0,123.0
serV,16085.0,15613.0,15975.0
setA,122.0,114.0,125.0
setB,46.0,44.0,64.0
setC,70.0,71.0,71.0
sfcA,185.0,208.0,169.0
sfmA,114.0,100.0,97.0
sfmC,56.0,55.0,65.0
sfmD,65.0,62.0,56.0
sfmF,238.0,298.0,252.0
sfmH,133.0,113.0,104.0
sfsA,55.0,56.0,50.0
sfsB,1.0,2.0,3.0
sgbE,1.0,2.0,1.0
sgbH,0.0,0.0,0.0
sgbU,94.0,109.0,79.0
sgcA,33.0,25.0,20.0
sgcB,66.0,51.0,54.0
sgcC,110.0,124.0,129.0
sgcE,89.0,83.0,78.0
sgcQ,50.0,52.0,28.0
sgcR,176.0,179.0,166.0
sgcX,27.0,21.0,27.0
sgrR,28.0,39.0,42.0
shiA,224.0,194.0,222.0
sieB,209.0,219.0,188.0
sirA,136.0,143.0,138.0
sixA,78.0,73.0,77.0
slp,186.0,194.0,187.0
slt,89.0,80.0,68.0
slyA,142.0,173.0,146.0
slyB,176.0,217.0,186.0
slyD,9.0,13.0,14.0
slyX,32.0,24.0,37.0
smf,149.0,158.0,173.0
smg,204.0,228.0,224.0
smpA,37.0,38.0,45.0
smpB,14.0,7.0,4.0
smtA,133.0,152.0,168.0
sodA,19.0,17.0,16.0
sodB,343.0,354.0,362.0
sodC,0.0,0.0,1.0
sohA,112.0,96.0,119.0
sohB,177.0,203.0,187.0
solA,1.0,1.0,0.0
soxR,0.0,2.0,0.0
soxS,44.0,31.0,44.0
speA,343.0,356.0,329.0
speB,20.0,38.0,29.0
speC,165.0,148.0,164.0
speD,135.0,132.0,126.0
speE,36.0,36.0,48.0
speF,201.0,226.0,199.0
speG,122.0,133.0,125.0
spoT,154.0,151.0,177.0
spoU,0.0,0.0,0.0
sppA,58.0,51.0,58.0
spr,223.0,241.0,202.0
sprT,23.0,20.0,24.0
spy,48.0,50.0,49.0
sra,17.0,20.0,18.0
srlA,2.0,8.0,8.0
srlB,6.0,10.0,11.0
srlD,8.0,11.0,13.0
srlE,45.0,36.0,35.0
srlR,67.0,53.0,83.0
srmB,8.0,12.0,11.0
ssb,0.0,1.0,0.0
sscR,13.0,6.0,6.0
sseA,142.0,173.0,178.0
sseB,185.0,189.0,190.0
ssnA,116.0,138.0,111.0
sspA,0.0,1.0,0.0
sspB,3.0,3.0,3.0
sstT,114.0,85.0,77.0
ssuA,22.0,18.0,11.0
ssuB,7.0,11.0,6.0
ssuC,23.0,27.0,24.0
ssuD,0.0,0.0,1.0
ssuE,29.0,21.0,21.0
stfE,39.0,35.0,29.0
stfQ,130.0,133.0,130.0
stfR,133.0,128.0,109.0
sthA,152.0,164.0,150.0
stpA,43.0,48.0,40.0
sucA,1.0,1.0,4.0
sucB,5.0,0.0,3.0
sucC,55.0,68.0,51.0
sucD,0.0,0.0,1.0
sufA,52.0,49.0,55.0
sufB,70.0,67.0,71.0
sufC,116.0,129.0,116.0
sufD,135.0,131.0,126.0
sufE,10.0,16.0,17.0
sufI,7.0,2.0,9.0
sufS,179.0,184.0,181.0
sugE,0.0,1.0,1.0
suhB,540.0,521.0,528.0
sulA,239.0,241.0,281.0
surA,84.0,82.0,89.0
surE,4.0,7.0,5.0
sxy,1.0,1.0,1.0
syd,148.0,154.0,139.0
tadA,5.0,9.0,1.0
tag,199.0,183.0,173.0
talA,127.0,104.0,101.0
talB,71.0,68.0,86.0
tam,0.0,0.0,0.0
tap,29.0,29.0,34.0
tar,168.0,176.0,163.0
tas,36.0,26.0,38.0
tatA,53.0,60.0,58.0
tatB,4.0,1.0,1.0
tatC,17.0,21.0,24.0
tatD,0.0,0.0,2.0
tatE,0.0,0.0,0.0
tauA,21.0,24.0,15.0
tauB,0.0,1.0,0.0
tauC,85.0,100.0,75.0
tauD,100.0,89.0,108.0
tbpA,57.0,40.0,39.0
tdcA,117.0,94.0,100.0
tdcB,129.0,134.0,125.0
tdcC,76.0,90.0,78.0
tdcD,41.0,39.0,28.0
tdcE,175.0,178.0,155.0
tdcF,2.0,0.0,0.0
tdcG,174.0,189.0,194.0
tdcR,61.0,67.0,51.0
tdh,39.0,50.0,40.0
tdk,54.0,47.0,56.0
tehA,24.0,28.0,24.0
tehB,60.0,52.0,59.0
tesA,65.0,54.0,69.0
tesB,1.0,3.0,3.0
tetR,4014.0,4191.0,4171.0
tfaE,338.0,321.0,316.0
tfaS,96.0,60.0,74.0
tfaX,0.0,1.0,0.0
tff,48215.0,50341.0,48541.0
tgt,185.0,213.0,204.0
thiC,9.0,5.0,3.0
thiD,3.0,6.0,1.0
thiE,0.0,0.0,0.0
thiF,3.0,3.0,0.0
thiG,1.0,2.0,1.0
thiH,41.0,52.0,33.0
thiI,197.0,182.0,175.0
thiK,33.0,34.0,41.0
thiL,149.0,146.0,140.0
thiM,12.0,15.0,18.0
thiP,0.0,0.0,0.0
thiQ,1.0,0.0,2.0
thiS,17.0,24.0,21.0
thrA,116.0,108.0,97.0
thrB,1.0,0.0,3.0
thrC,20.0,18.0,11.0
thrS,144.0,146.0,134.0
thrU---thrToperon,5140.0,5308.0,5303.0
thyA,20.0,33.0,25.0
tig,401.0,360.0,347.0
tilS,65.0,73.0,55.0
tktA,127.0,126.0,135.0
tktB,14.0,9.0,14.0
tldD,48.0,64.0,74.0
tmk,106.0,103.0,94.0
tnaA,27.0,43.0,51.0
tnaB,66.0,66.0,68.0
tnaC,0.0,1.0,1.0
tolA,214.0,220.0,218.0
tolB,192.0,159.0,135.0
tolC,103.0,105.0,97.0
tolQ,304.0,309.0,295.0
tolR,40.0,49.0,31.0
tonB,44.0,50.0,41.0
topA,233.0,260.0,257.0
topB,2.0,2.0,0.0
torA,204.0,206.0,197.0
torC,237.0,225.0,210.0
torD,7.0,2.0,11.0
torI,159.0,151.0,126.0
torR,35.0,43.0,32.0
torS,158.0,186.0,183.0
torT,166.0,158.0,150.0
torY,154.0,152.0,149.0
torZ,64.0,93.0,71.0
tpiA,104.0,109.0,95.0
tppB,188.0,209.0,241.0
tpr,8.0,13.0,15.0
tpx,60.0,70.0,60.0
tqsA,125.0,103.0,103.0
traY,5.0,1.0,4.0
treA,100.0,117.0,97.0
treB,37.0,40.0,31.0
treC,14.0,7.0,10.0
treF,15.0,13.0,17.0
treR,96.0,75.0,71.0
trg,142.0,133.0,119.0
trkA,112.0,122.0,120.0
trkD,94.0,92.0,103.0
trkG,240.0,236.0,232.0
trkH,57.0,58.0,54.0
trmA,108.0,120.0,86.0
trmD,40.0,37.0,38.0
trmI,92.0,82.0,110.0
trpB,1.0,0.0,0.0
trpC,5.0,6.0,11.0
trpD,21.0,21.0,17.0
trpE,0.0,5.0,3.0
trpH,24.0,16.0,24.0
trpR,17.0,35.0,18.0
trpS,115.0,102.0,101.0
truA,63.0,63.0,69.0
truB,22.0,20.0,24.0
truC,12.0,9.0,13.0
truD,96.0,105.0,111.0
trxB,2.0,5.0,4.0
trxC,87.0,111.0,105.0
tsf,1.0,3.0,2.0
tsgA,14.0,12.0,7.0
tsr,267.0,278.0,246.0
tsx,31.0,26.0,24.0
ttcA,123.0,107.0,104.0
ttdA,67.0,66.0,61.0
ttdB,6.0,10.0,12.0
ttk,107.0,126.0,105.0
tufA,15.0,8.0,16.0
tufB,5.0,12.0,3.0
tus,68.0,75.0,58.0
tynA,254.0,229.0,240.0
tyrA,96.0,102.0,74.0
tyrB,23.0,23.0,21.0
tyrP,200.0,193.0,199.0
tyrR,158.0,156.0,146.0
tyrS,29.0,29.0,22.0
tyrT,35463.0,33272.0,33785.0
ubiA,191.0,183.0,178.0
ubiB,257.0,243.0,254.0
ubiC,2.0,4.0,3.0
ubiD,164.0,170.0,151.0
ubiE,24.0,35.0,29.0
ubiF,59.0,49.0,67.0
ubiG,18.0,11.0,25.0
ubiH,24.0,30.0,32.0
ubiX,108.0,104.0,103.0
ucpA,2.0,2.0,1.0
udk,23.0,34.0,46.0
udp,40.0,31.0,25.0
ugd,142.0,128.0,123.0
ugpA,37.0,45.0,38.0
ugpB,11.0,6.0,11.0
ugpC,0.0,0.0,0.0
ugpE,1.0,0.0,0.0
ugpQ,20.0,36.0,22.0
uhpA,30.0,27.0,33.0
uhpB,12.0,1.0,3.0
uhpC,31.0,38.0,34.0
uhpT,101.0,89.0,95.0
uidB,57.0,59.0,56.0
uidC,140.0,150.0,134.0
uidR,35.0,30.0,38.0
ulaA,55.0,43.0,50.0
ulaB,6.0,2.0,3.0
ulaC,0.0,0.0,0.0
ulaD,0.0,0.0,0.0
ulaE,217.0,251.0,270.0
ulaF,73.0,82.0,72.0
ulaG,101.0,92.0,113.0
ulaR,111.0,120.0,112.0
umuC,165.0,135.0,140.0
umuD,48.0,54.0,49.0
ung,0.0,0.0,0.0
upp,1.0,3.0,0.0
uraA,112.0,93.0,87.0
usg,5.0,1.0,2.0
ushA,65.0,75.0,73.0
uspA,19.0,24.0,27.0
uspB,38.0,41.0,52.0
uspE,52.0,63.0,60.0
uspF,41.0,53.0,36.0
uspG,42.0,69.0,59.0
uup,145.0,151.0,160.0
uvrA,113.0,115.0,124.0
uvrB,84.0,71.0,77.0
uvrC,139.0,152.0,141.0
uvrD,11.0,9.0,6.0
uvrY,95.0,122.0,125.0
uxaA,1.0,0.0,0.0
uxaB,129.0,145.0,131.0
uxaC,242.0,234.0,254.0
uxuA,28.0,25.0,20.0
uxuB,6.0,8.0,1.0
uxuR,63.0,56.0,57.0
vacJ,11.0,7.0,9.0
valS,282.0,292.0,296.0
vapC,2691.0,2696.0,2796.0
viaA,27.0,34.0,32.0
visC,162.0,172.0,147.0
vsr,4.0,6.0,7.0
wbbH,167.0,150.0,151.0
wbbI,183.0,185.0,162.0
wbbJ,42.0,45.0,42.0
wbbK,124.0,121.0,92.0
wbbL,91.0,88.0,67.0
wcaA,14.0,14.0,15.0
wcaB,6.0,6.0,8.0
wcaC,9.0,17.0,21.0
wcaD,101.0,96.0,98.0
wcaE,220.0,207.0,192.0
wcaF,11.0,10.0,16.0
wcaI,75.0,97.0,87.0
wcaJ,221.0,212.0,218.0
wcaK,63.0,74.0,67.0
wcaL,22.0,31.0,22.0
wcaM,78.0,102.0,88.0
wrbA,1.0,1.0,2.0
wza,125.0,139.0,142.0
wzb,1.0,4.0,1.0
wzc,91.0,90.0,83.0
wzxC,73.0,76.0,68.0
wzxE,47.0,69.0,57.0
wzyE,16.0,29.0,23.0
wzzE,0.0,1.0,0.0
xapA,156.0,161.0,133.0
xapB,69.0,57.0,67.0
xapR,11.0,23.0,16.0
xdhA,246.0,247.0,255.0
xdhB,121.0,108.0,113.0
xdhC,3.0,10.0,14.0
xdhD,180.0,176.0,194.0
xerC,81.0,87.0,90.0
xerD,151.0,109.0,137.0
xni,174.0,199.0,193.0
xseA,55.0,39.0,41.0
xseB,1.0,0.0,0.0
xthA,39.0,41.0,22.0
xylA,164.0,176.0,163.0
xylB,95.0,113.0,105.0
xylE,126.0,141.0,131.0
xylF,129.0,146.0,120.0
xylG,202.0,208.0,197.0
xylH,81.0,74.0,49.0
xylR,162.0,168.0,147.0
yaaA,186.0,178.0,182.0
yaaH,60.0,54.0,58.0
yaaI,56.0,56.0,54.0
yaaJ,218.0,202.0,215.0
yaaU,140.0,134.0,116.0
yaaW,69.0,69.0,77.0
yaaX,1.0,1.0,0.0
yaaY,0.0,0.0,0.0
yabI,165.0,178.0,168.0
yabP,365.0,381.0,333.0
yacC,0.0,0.0,0.0
yacF,131.0,121.0,129.0
yacG,0.0,0.0,1.0
yacH,53.0,25.0,42.0
yacL,0.0,0.0,4.0
yadB,31.0,23.0,26.0
yadC,216.0,224.0,206.0
yadD,118.0,100.0,128.0
yadE,50.0,57.0,47.0
yadG,114.0,112.0,131.0
yadH,127.0,183.0,142.0
yadI,22.0,22.0,25.0
yadK,360.0,342.0,354.0
yadL,232.0,217.0,195.0
yadM,268.0,260.0,218.0
yadN,184.0,159.0,170.0
yadR,60.0,45.0,53.0
yadS,39.0,47.0,49.0
yaeB,1.0,2.0,1.0
yaeF,384.0,406.0,368.0
yaeH,33.0,37.0,48.0
yaeI,119.0,141.0,132.0
yaeJ,2.0,6.0,2.0
yaeP,2.0,2.0,1.0
yaeQ,33.0,39.0,44.0
yaeR,32.0,34.0,35.0
yafC,125.0,153.0,144.0
yafD,41.0,55.0,50.0
yafE,143.0,142.0,124.0
yafF,58.0,44.0,56.0
yafJ,3.0,1.0,2.0
yafK,149.0,165.0,151.0
yafL,112.0,109.0,140.0
yafM,71.0,100.0,82.0
yafN,28.0,39.0,33.0
yafO,239.0,224.0,235.0
yafP,25.0,36.0,24.0
yafQ,60.0,49.0,46.0
yafS,109.0,110.0,90.0
yafT,186.0,221.0,215.0
yafU,111.0,128.0,131.0
yafV,17.0,23.0,21.0
yafW,71.0,67.0,46.0
yafX,29.0,30.0,38.0
yafY,4.0,7.0,2.0
yafZ,8.0,0.0,8.0
