,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
paaE,5.0,5.0,3.0
paaG,6.0,10.0,2.0
paaH,5.0,6.0,5.0
paaI,5.0,6.0,1.0
paaJ,18.0,21.0,22.0
paaK,11.0,29.0,22.0
paaX,13.0,12.0,8.0
paaY,11.0,11.0,10.0
pabB,11.0,13.0,5.0
pabC,19.0,8.0,9.0
pal,4.0,1.0,1.0
panB,0.0,0.0,2.0
panC,11.0,9.0,8.0
panD,0.0,0.0,0.0
panE,2.0,4.0,3.0
panF,1.0,0.0,0.0
parC,59.0,70.0,50.0
parE,6.0,14.0,5.0
pbl,0.0,4.0,0.0
pbpC,0.0,0.0,0.0
pbpG,16.0,9.0,13.0
pck,47.0,41.0,54.0
pcm,0.0,1.0,2.0
pcnB,163.0,179.0,148.0
pdhR,15.0,18.0,25.0
pdxA,6.0,9.0,12.0
pdxB,11.0,21.0,21.0
pdxH,12.0,16.0,22.0
pdxJ,1.0,1.0,2.0
pdxY,0.0,1.0,0.0
pepA,27.0,25.0,22.0
pepB,0.0,0.0,1.0
pepD,13.0,15.0,31.0
pepN,24.0,42.0,32.0
pepP,19.0,10.0,15.0
pepQ,4.0,6.0,9.0
pepT,39.0,40.0,33.0
perR,34.0,29.0,37.0
pfkA,11.0,5.0,7.0
pfkB,6.0,3.0,7.0
pflA,0.0,0.0,0.0
pflB,61.0,64.0,41.0
pflC,5.0,7.0,2.0
pflD,10.0,12.0,10.0
pgaA,8.0,9.0,13.0
pgaB,18.0,10.0,18.0
pgaC,7.0,12.0,10.0
pgaD,15.0,24.0,18.0
pgi,8.0,5.0,3.0
pgk,44.0,34.0,35.0
pgl,53.0,26.0,42.0
pgm,61.0,55.0,45.0
pgpA,5.0,3.0,2.0
pgpB,40.0,29.0,37.0
pheA,31.0,26.0,11.0
pheL,0.0,0.0,1.0
pheP,0.0,1.0,1.0
pheT,87.0,103.0,90.0
phnA,21.0,28.0,21.0
phnC,0.0,1.0,0.0
phnD,0.0,1.0,1.0
