,EXP_A,EXP_B,EXP_C,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
torS,5.0,5.0,4.0,23.0,11.0,15.0,83.0,100.0,75.0,158.0,186.0,183.0,196.0,223.0,247.0
torT,4.0,2.0,0.0,14.0,11.0,15.0,83.0,84.0,78.0,166.0,158.0,150.0,206.0,210.0,191.0
torY,4.0,1.0,1.0,23.0,25.0,14.0,83.0,100.0,72.0,154.0,152.0,149.0,196.0,212.0,221.0
torZ,3.0,1.0,1.0,5.0,17.0,10.0,51.0,40.0,38.0,64.0,93.0,71.0,76.0,111.0,101.0
tpiA,41.0,21.0,38.0,19.0,16.0,12.0,50.0,46.0,36.0,104.0,109.0,95.0,110.0,105.0,123.0
tppB,89.0,94.0,68.0,109.0,131.0,109.0,199.0,170.0,168.0,188.0,209.0,241.0,274.0,255.0,231.0
tpr,1.0,0.0,0.0,6.0,10.0,14.0,8.0,16.0,16.0,8.0,13.0,15.0,18.0,17.0,9.0
tpx,34.0,50.0,29.0,13.0,16.0,12.0,64.0,33.0,38.0,60.0,70.0,60.0,117.0,101.0,94.0
tqsA,3.0,2.0,2.0,11.0,13.0,13.0,60.0,48.0,58.0,125.0,103.0,103.0,135.0,140.0,134.0
traY,6.0,10.0,16.0,1.0,1.0,1.0,3.0,4.0,6.0,5.0,1.0,4.0,2.0,0.0,3.0
treA,0.0,1.0,4.0,10.0,5.0,10.0,55.0,55.0,55.0,100.0,117.0,97.0,152.0,177.0,172.0
treB,7.0,5.0,1.0,0.0,7.0,3.0,11.0,19.0,19.0,37.0,40.0,31.0,47.0,33.0,62.0
treC,0.0,0.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,14.0,7.0,10.0,24.0,15.0,23.0
treF,0.0,0.0,0.0,3.0,1.0,5.0,11.0,13.0,12.0,15.0,13.0,17.0,33.0,22.0,29.0
treR,3.0,1.0,3.0,9.0,9.0,6.0,39.0,44.0,41.0,96.0,75.0,71.0,105.0,116.0,107.0
trg,144.0,205.0,188.0,25.0,40.0,22.0,94.0,95.0,84.0,142.0,133.0,119.0,154.0,181.0,176.0
trkA,2.0,3.0,8.0,11.0,14.0,17.0,74.0,75.0,62.0,112.0,122.0,120.0,156.0,164.0,163.0
trkD,7.0,4.0,0.0,10.0,8.0,6.0,46.0,39.0,48.0,94.0,92.0,103.0,108.0,115.0,110.0
trkG,2.0,10.0,14.0,54.0,53.0,58.0,147.0,132.0,177.0,240.0,236.0,232.0,310.0,299.0,321.0
trkH,3.0,6.0,6.0,6.0,4.0,5.0,32.0,34.0,37.0,57.0,58.0,54.0,81.0,69.0,71.0
trmA,8.0,16.0,5.0,27.0,29.0,19.0,58.0,66.0,77.0,108.0,120.0,86.0,130.0,135.0,140.0
trmD,15.0,26.0,19.0,96.0,105.0,91.0,111.0,105.0,84.0,40.0,37.0,38.0,7.0,10.0,7.0
trmI,19.0,10.0,15.0,61.0,76.0,71.0,100.0,106.0,97.0,92.0,82.0,110.0,85.0,78.0,80.0
trpB,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
trpC,0.0,5.0,0.0,1.0,1.0,2.0,2.0,5.0,4.0,5.0,6.0,11.0,8.0,10.0,10.0
trpD,3.0,1.0,2.0,0.0,0.0,0.0,7.0,11.0,11.0,21.0,21.0,17.0,26.0,24.0,31.0
trpE,3.0,4.0,5.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,5.0,3.0,5.0,7.0,6.0
trpH,0.0,1.0,0.0,0.0,3.0,1.0,4.0,8.0,13.0,24.0,16.0,24.0,21.0,21.0,20.0
trpR,1.0,0.0,3.0,2.0,2.0,1.0,15.0,9.0,14.0,17.0,35.0,18.0,35.0,39.0,32.0
trpS,14.0,33.0,31.0,13.0,9.0,8.0,73.0,66.0,69.0,115.0,102.0,101.0,146.0,153.0,155.0
truA,10.0,7.0,9.0,24.0,26.0,28.0,44.0,49.0,53.0,63.0,63.0,69.0,86.0,81.0,59.0
truB,3.0,2.0,3.0,13.0,17.0,27.0,35.0,36.0,29.0,22.0,20.0,24.0,18.0,21.0,25.0
truC,0.0,0.0,2.0,0.0,2.0,2.0,6.0,3.0,9.0,12.0,9.0,13.0,21.0,19.0,25.0
truD,7.0,8.0,19.0,24.0,20.0,29.0,77.0,73.0,50.0,96.0,105.0,111.0,142.0,116.0,131.0
trxB,3.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0
trxC,7.0,13.0,8.0,18.0,14.0,26.0,51.0,73.0,67.0,87.0,111.0,105.0,136.0,134.0,134.0
tsf,3.0,4.0,4.0,3.0,1.0,0.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0
tsgA,0.0,1.0,0.0,4.0,1.0,4.0,2.0,6.0,2.0,14.0,12.0,7.0,17.0,17.0,13.0
tsr,218.0,236.0,243.0,200.0,181.0,207.0,229.0,203.0,181.0,267.0,278.0,246.0,307.0,313.0,300.0
tsx,56.0,64.0,54.0,23.0,13.0,11.0,28.0,24.0,25.0,31.0,26.0,24.0,32.0,27.0,27.0
ttcA,8.0,11.0,15.0,22.0,20.0,21.0,73.0,83.0,73.0,123.0,107.0,104.0,150.0,143.0,142.0
ttdA,1.0,0.0,3.0,3.0,8.0,9.0,36.0,38.0,48.0,67.0,66.0,61.0,103.0,84.0,84.0
ttk,43.0,29.0,54.0,61.0,49.0,47.0,78.0,93.0,91.0,107.0,126.0,105.0,135.0,155.0,151.0
tufA,260.0,234.0,239.0,39.0,37.0,51.0,37.0,39.0,44.0,15.0,8.0,16.0,0.0,3.0,4.0
tufB,171.0,175.0,153.0,32.0,34.0,33.0,38.0,30.0,31.0,5.0,12.0,3.0,4.0,2.0,2.0
tus,1.0,0.0,2.0,5.0,8.0,9.0,38.0,36.0,40.0,68.0,75.0,58.0,103.0,109.0,108.0
tynA,0.0,5.0,5.0,18.0,15.0,18.0,105.0,106.0,103.0,254.0,229.0,240.0,282.0,288.0,304.0
tyrA,1.0,5.0,1.0,32.0,22.0,26.0,74.0,81.0,96.0,96.0,102.0,74.0,120.0,123.0,127.0
tyrB,3.0,12.0,10.0,10.0,12.0,7.0,24.0,23.0,21.0,23.0,23.0,21.0,24.0,42.0,37.0
tyrP,4.0,2.0,5.0,29.0,24.0,23.0,120.0,123.0,135.0,200.0,193.0,199.0,247.0,262.0,253.0
tyrR,12.0,6.0,11.0,34.0,22.0,29.0,103.0,104.0,103.0,158.0,156.0,146.0,202.0,229.0,215.0
tyrS,19.0,7.0,10.0,22.0,12.0,16.0,34.0,29.0,23.0,29.0,29.0,22.0,36.0,32.0,46.0
tyrT,37091.0,37900.0,39390.0,23785.0,22760.0,22865.0,46342.0,45184.0,46241.0,35463.0,33272.0,33785.0,30474.0,30841.0,28792.0
ubiA,13.0,7.0,11.0,36.0,30.0,16.0,122.0,120.0,113.0,191.0,183.0,178.0,247.0,267.0,256.0
ubiB,24.0,19.0,12.0,37.0,30.0,35.0,134.0,146.0,135.0,257.0,243.0,254.0,355.0,332.0,336.0
ubiC,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0
ubiD,38.0,36.0,33.0,29.0,29.0,37.0,84.0,101.0,108.0,164.0,170.0,151.0,213.0,215.0,191.0
ubiE,6.0,2.0,3.0,2.0,1.0,1.0,24.0,11.0,23.0,24.0,35.0,29.0,36.0,40.0,44.0
ubiF,0.0,1.0,1.0,12.0,14.0,9.0,33.0,39.0,32.0,59.0,49.0,67.0,61.0,71.0,80.0
ubiG,0.0,0.0,0.0,3.0,4.0,2.0,16.0,10.0,10.0,18.0,11.0,25.0,32.0,31.0,34.0
ubiH,0.0,2.0,1.0,5.0,1.0,4.0,9.0,16.0,10.0,24.0,30.0,32.0,35.0,36.0,33.0
ubiX,6.0,4.0,6.0,13.0,20.0,15.0,80.0,58.0,69.0,108.0,104.0,103.0,151.0,129.0,174.0
ucpA,6.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
udk,7.0,2.0,5.0,9.0,4.0,8.0,21.0,24.0,32.0,23.0,34.0,46.0,52.0,67.0,51.0
udp,195.0,182.0,214.0,1.0,4.0,8.0,22.0,9.0,22.0,40.0,31.0,25.0,44.0,36.0,34.0
ugd,3.0,1.0,0.0,30.0,23.0,18.0,87.0,76.0,93.0,142.0,128.0,123.0,159.0,156.0,155.0
ugpA,1.0,10.0,0.0,3.0,1.0,0.0,11.0,25.0,20.0,37.0,45.0,38.0,43.0,37.0,41.0
ugpB,1.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,5.0,11.0,6.0,11.0,10.0,14.0,16.0
ugpQ,8.0,6.0,4.0,5.0,6.0,2.0,14.0,14.0,14.0,20.0,36.0,22.0,29.0,35.0,29.0
uhpA,2.0,1.0,4.0,5.0,2.0,3.0,17.0,11.0,15.0,30.0,27.0,33.0,41.0,34.0,39.0
uhpB,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,12.0,1.0,3.0,5.0,3.0,4.0
uhpC,0.0,0.0,0.0,1.0,8.0,3.0,23.0,24.0,19.0,31.0,38.0,34.0,57.0,50.0,49.0
uhpT,5.0,1.0,4.0,7.0,3.0,4.0,50.0,51.0,44.0,101.0,89.0,95.0,127.0,102.0,112.0
uidB,9.0,16.0,16.0,3.0,2.0,8.0,32.0,23.0,26.0,57.0,59.0,56.0,62.0,68.0,82.0
uidC,46.0,49.0,36.0,23.0,16.0,11.0,89.0,86.0,76.0,140.0,150.0,134.0,194.0,212.0,210.0
uidR,0.0,2.0,0.0,4.0,6.0,3.0,21.0,22.0,22.0,35.0,30.0,38.0,47.0,38.0,46.0
