,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
potC,18,9,17,220,89,132,97,65,79,142,12,26,16,17,7,12,9,43,76,40,114,145,225,165
potD,87,59,65,1205,486,778,590,500,581,611,84,88,42,76,47,49,61,104,167,67,236,263,444,319
potE,54,25,19,63,26,49,33,26,28,24,40,25,32,30,24,22,77,135,231,129,128,119,216,148
potF,508,265,275,338,142,232,226,148,234,226,371,336,242,277,253,298,22,48,63,41,134,147,240,176
potG,253,180,127,358,155,203,206,126,192,192,197,159,149,157,139,149,10,11,27,17,76,60,134,84
potH,26,20,17,117,45,80,67,51,60,74,17,18,22,10,21,12,8,11,19,4,23,25,47,44
potI,27,24,12,83,44,75,55,51,56,47,11,9,12,5,5,15,22,78,118,38,29,28,43,33
poxB,981,459,469,312,131,172,104,88,94,54,829,704,512,695,503,465,2,17,19,5,16,14,20,47
ppa,317,208,185,3503,1343,2443,1493,1281,1639,1275,371,308,193,287,202,248,159,391,689,316,161,234,297,343
ppc,278,154,131,1654,648,949,661,514,664,715,217,210,151,200,163,197,41,85,194,66,96,126,200,130
ppdA,1,0,2,27,14,20,14,14,18,12,0,0,4,0,2,1,5,7,23,15,8,11,23,9
ppdB,6,3,3,29,13,17,13,3,15,5,6,1,5,4,4,4,7,17,36,19,8,11,15,13
ppdC,11,4,1,30,19,21,16,8,18,13,12,4,7,3,3,8,7,9,28,8,13,9,15,11
ppdD,2,0,0,23,6,6,2,0,8,4,0,0,0,1,0,1,0,4,5,2,0,4,5,3
pphA,183,110,103,32,15,23,20,14,15,8,144,106,104,84,58,102,7,8,38,11,73,83,112,173
pphB,5,2,5,8,3,8,9,10,10,13,4,5,4,3,9,5,3,11,18,4,12,3,16,9
pphC,3,0,1,11,3,17,14,2,3,5,5,3,2,4,6,3,11,18,28,8,14,15,26,24
ppiA,237,127,107,509,211,293,221,179,233,228,213,160,114,192,144,158,15,32,91,39,24,51,60,69
ppiB,464,204,232,1064,388,726,471,411,444,431,403,306,210,296,246,247,76,132,256,122,111,144,237,166
ppiC,52,26,26,328,176,275,140,104,148,124,45,21,18,23,31,28,50,133,274,105,115,178,249,149
ppiD,367,202,185,2614,1030,1855,1209,985,1195,1415,313,308,212,262,205,211,359,760,1409,504,739,927,1370,1100
ppk,352,177,154,920,347,556,374,310,358,321,307,270,191,236,185,184,53,140,280,129,182,262,372,131
ppnN,235,158,143,1173,463,714,552,427,500,571,177,163,125,114,106,110,58,94,227,83,70,71,115,101
ppnP,93,49,47,364,94,293,175,132,164,178,95,90,59,63,43,49,37,112,191,65,132,210,253,228
pppA,2,3,1,53,11,24,17,12,24,10,8,3,3,3,3,3,21,64,84,35,29,35,58,42
ppsA,479,257,241,6541,2625,4272,2919,2186,2638,2773,352,372,257,281,271,259,478,1043,2076,647,1140,1445,2392,1196
ppsR,87,44,41,445,192,241,149,145,163,166,102,79,48,89,63,42,30,77,128,62,36,44,64,73
pptA,2,5,6,53,17,35,29,15,13,25,5,6,4,5,4,5,11,14,27,17,26,26,47,43
ppx,295,142,111,849,317,524,365,263,271,321,232,178,152,180,147,146,31,70,126,51,95,101,190,89
pqiA,169,59,68,247,71,184,85,72,93,87,106,108,76,77,82,84,29,98,156,57,238,258,478,273
pqiB,152,96,85,386,134,281,165,120,178,120,128,109,65,92,93,59,45,140,240,61,540,593,1017,521
pqiC,79,65,50,160,60,119,66,49,69,48,83,56,38,44,31,38,18,32,66,18,143,170,292,135
pqqL,25,18,17,293,113,205,140,79,118,96,32,10,16,18,24,29,65,123,198,80,170,279,364,250
prc,412,211,236,4585,1814,3169,2069,1574,2104,2114,338,261,236,312,198,252,682,1543,2739,1240,1636,1962,3292,2127
preA,16,12,5,130,55,69,50,58,42,44,18,25,10,15,5,9,12,18,34,13,16,34,50,65
preT,31,20,13,157,80,102,64,46,48,71,26,19,19,31,10,26,5,15,23,8,29,36,66,141
prfA,97,52,49,419,150,300,191,131,169,204,55,67,55,50,44,49,69,179,271,133,345,402,658,487
prfB,435,254,233,2317,941,1505,997,789,1017,1008,375,255,195,253,243,244,236,560,1129,408,664,830,1380,945
prfC,62,43,35,1280,505,876,506,493,590,521,53,43,23,29,34,40,133,320,553,226,320,391,642,452
priA,37,29,17,478,175,282,193,143,175,165,37,26,16,24,25,15,67,190,309,99,216,232,411,275
priB,284,148,101,5848,2069,3739,2423,2038,2811,2756,236,197,172,238,182,164,2873,6721,12192,4988,3843,4718,6830,7191
priC,39,30,38,124,27,73,35,23,43,31,42,30,33,34,21,29,37,108,206,70,117,139,207,106
prkB,78,40,53,289,105,180,104,86,109,134,63,64,40,48,39,47,18,39,82,23,48,63,87,49
prlC,600,395,303,716,273,456,302,198,252,261,450,368,299,328,280,283,27,85,136,73,72,63,144,113
