,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
yhcF,24,42,40,36,37,36,4,19,18,21,38,47,59,70,53
yhcG,117,73,57,150,100,42,9,31,60,16,77,97,98,154,68
yhcN,21,10,11,26,5,105,32,63,113,43,131,148,159,353,131
yhcO,42,52,12,169,22,178,62,95,160,66,55,60,68,225,89
yhdE,820,1001,540,702,735,125,42,56,95,48,314,262,294,353,245
yhdH,491,486,271,1074,349,494,173,314,325,195,404,424,407,646,361
yhdJ,60,81,24,18,54,6,4,2,3,3,16,20,24,6,5
yhdN,106,170,99,85,103,124,21,61,67,25,209,229,255,334,220
yhdP,1396,1719,811,1452,1214,235,58,131,202,100,638,563,691,366,295
yhdT,37,86,37,16,45,1,0,0,1,0,0,2,13,2,1
yhdU,45,78,28,15,37,2,0,3,0,0,13,9,10,8,3
yhdV,14,15,7,13,13,31,12,19,33,5,1,4,1,4,2
yhdX,163,242,127,273,119,48,7,20,34,19,24,27,23,25,20
yhdY,79,126,62,119,64,23,11,26,15,8,30,16,23,24,13
yhdZ,158,164,65,162,54,25,24,21,40,11,43,29,57,66,36
yheO,816,910,506,1134,662,168,57,59,92,40,234,260,279,173,161
yheS,1058,1190,690,1045,902,178,45,109,115,54,294,286,319,278,175
yheT,344,480,278,315,375,72,16,46,45,30,90,66,81,78,57
yheU,56,86,53,92,41,38,11,15,26,18,35,69,43,91,32
yheV,77,73,76,252,95,23,6,9,28,9,34,18,13,25,15
yhfA,310,292,148,288,160,59,15,39,66,16,51,71,41,114,57
yhfG,110,103,59,176,75,108,34,64,74,35,112,138,134,232,132
yhfK,1298,1425,772,1405,1088,24,3,8,20,10,123,116,108,83,62
yhfL,11,13,8,1,9,7,8,6,11,6,5,11,14,24,7
yhfS,31,53,25,64,36,66,21,27,38,26,86,88,82,95,95
yhfT,22,36,23,80,25,22,5,12,14,4,65,67,78,51,49
yhfU,3,5,0,6,0,5,1,3,2,0,7,6,15,6,1
yhfW,5,13,8,27,11,3,1,7,1,2,14,12,18,12,8
yhfX,8,8,6,17,5,4,4,3,5,4,14,5,10,9,16
yhfY,46,23,20,16,23,15,4,17,16,3,7,8,9,15,8
yhfZ,141,123,40,53,91,57,9,26,49,25,45,14,38,50,25
yhgE,151,211,157,251,131,53,17,20,36,11,151,161,149,148,109
yhgF,1402,1731,793,1444,1323,46,24,43,43,16,138,124,156,85,62
yhgN,100,134,74,69,107,21,1,4,9,2,79,75,76,97,69
yhhA,39,19,11,153,30,1871,532,999,1286,534,316,323,333,1442,508
yhhH,3,2,2,0,0,0,0,0,0,0,3,0,2,2,2
yhhI,24,13,11,20,11,6,2,7,6,5,37,22,53,52,41
yhhJ,159,210,118,297,180,57,15,27,35,10,185,128,181,84,68
yhhL,57,83,45,68,51,27,17,22,30,24,32,26,28,33,38
yhhM,33,48,25,29,20,17,0,5,7,9,36,43,42,57,25
yhhN,341,390,164,647,237,179,58,101,159,58,255,260,302,702,360
yhhQ,114,83,53,43,96,60,22,35,57,23,178,208,252,117,81
yhhS,182,240,128,244,116,75,20,65,78,16,310,274,351,254,218
yhhT,154,141,107,490,98,349,119,220,279,115,225,216,251,526,306
yhhW,211,179,115,429,130,358,97,227,265,101,461,493,533,562,431
yhhX,397,534,261,816,412,473,161,313,363,160,603,634,685,763,486
yhhY,58,53,38,163,45,26,16,16,15,4,18,26,34,35,18
yhhZ,3,1,3,1,0,1,0,0,0,0,0,6,7,7,3
yhiD,71,61,38,161,98,5,4,2,6,7,20,18,21,14,10
yhiI,444,615,309,784,438,135,31,75,82,21,872,791,890,607,640
yhiJ,24,10,21,37,10,24,8,8,21,13,26,30,36,60,31
yhiM,16,21,11,23,14,45,12,31,36,19,49,38,48,64,44
yhiN,325,329,174,260,295,65,24,55,42,20,525,399,513,586,449
yhiY,155,154,52,254,125,11,2,14,16,12,82,122,116,106,46
yhjB,27,37,14,39,34,13,10,21,8,5,110,108,106,56,43
